S89-ALPHA-M-NCG-HORIZON-MICROSTATE-COUNT-DERIVATION: FAIL -- value='alpha=-1.590633e-116;rel_dev=1.000000e+00;n=0.0000;Tr_HSS=38;R_CM=3.800000e+01;monotone=False;K_advance=1to2_BY_CONSTRUCTION' scheme=peter-weyl-block-diagonal-HSS-projection-Lmax10-tau-fold-019 convention=horizon-spanning-sector-projection-CM-1995-III-4-FULL L_max=10 audit_sha256=6db37f7c6da0768662c5afb320654a54f2e4c478882d365465712034e28a16fe content_sha256=4798e1dca75ec6dc072d0d98b4fc58ed20ba18edd2c9a3f7862c5e810921487f schema_version=S87+
S89-VII-AQ-STAGE-2-CROSS-AXIS-CANONICAL-IMPORT-BINDING: FAIL -- value='clauses_pass=7/8;connes(i,ii,iii,iv)=PASS,FAIL,PASS,PASS;volovik(i,ii,iii,iv)=PASS,PASS,PASS,PASS;orth_PASS=PASS;joint_iii_PASS_AND=True;a40_status=FAIL;binding=CANONICAL-IMPORT-BINDING;supersedes=730588dc9ed971e4ebe58a6d0c49ccf4150f7cbf9b81b546676b6998b93b5eed' scheme=joint-theorem-promotion-stage-2-PASS-AND-2-axis-with-orthogonality-PASS convention=vii-aq-stage-2-cross-axis-canonical-import-binding-with-substrate-input-orthogonality L_max=10 audit_sha256=eaa8defd897cb5fa0bca773cdba46c4f889118f1c1613ec1145b74107ce3f491 content_sha256=3b912338f85d5ee2a825a836dc1d8c2203d1001faf9f84678100fd49e54b7ae8 schema_version=S87+
# audit_sha256_short=eaa8defd897cb5fa content_sha256_short=3b912338f85d5ee2 # S89-VII-AQ-STAGE-2-CROSS-AXIS-CANONICAL-IMPORT-BINDING dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=FAIL regime_verdict=VALID # S89-VII-AQ-STAGE-2-CROSS-AXIS-CANONICAL-IMPORT-BINDING 3-tuple annotation (S87 schema-v2)
S89-HK-5-REGIME-OF-VALIDITY-TAU-MAX-BOUND-DERIVATION: PASS -- value='{tau_max=12.4750026513,S1_pole=15.707963,S2=inf,S3_numerical=12.4750,binding=S3_numerical_breakdown,boundary_verif=PASS,tau_fold_margin=65.6579,a28_margin=32.8290,promotion=PROMOTED}' scheme=HK-5-regime-of-validity-tau-max-bound-derivation convention=min-over-3-sources-pole-substrate-IS-numerical-breakdown L_max=12 audit_sha256=136630ecc2869880c879aa805ce28e088374f77688755b1c2d8c82a8884026df content_sha256=84fef870915eb29019603683fc8ed20c26fba2cdee45c742f1930485cb1dcd15 schema_version=S87+
# audit_sha256_short=136630ecc2869880 content_sha256_short=84fef870915eb290 # S89-HK-5-REGIME-OF-VALIDITY-TAU-MAX-BOUND-DERIVATION dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S89-HK-5-REGIME-OF-VALIDITY-TAU-MAX-BOUND-DERIVATION 3-tuple annotation (S87 schema-v2)
S89-VII-AH-STAGE-2-RE-DISPATCH-OBS2-OBS3: PASS -- value='{"obs1":"Verdict_B_with_substrate_input_overlap_caveat__S88_W7c-167__shared_npz_SHA=120435cbfd5ef313ebcba6e23ec1712c51d04a3f75b788034ebe7964aa32519f","obs2":"PASS","obs3":"PASS","joint_pass_and_c":"PASS","joint_pass_and_d":"PASS","orthogonality_clause_at_obs2_or_obs3":"PASS","clauses_pass":"8/8","a40_status":"FAIL"}' scheme=joint-theorem-promotion-stage-2-PASS-AND-2-axis-multi-observable-with-orthogonality-PASS convention=vii-ah-stage-2-re-dispatch-obs2-obs3-substrate-input-orthogonal L_max=10 audit_sha256=4fcd7d29af51c56d8c6620bc2c323970b96edc053e432232e680903d8926536a content_sha256=9fca574c0f0fba870e52bdf38cbcf6f2df7389e0789bc0a810cb4687c42a4c1e schema_version=S87+
# audit_sha256_short=4fcd7d29af51c56d content_sha256_short=9fca574c0f0fba87 # S89-VII-AH-STAGE-2-RE-DISPATCH-OBS2-OBS3 dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S89-VII-AH-STAGE-2-RE-DISPATCH-OBS2-OBS3 3-tuple annotation (S87 schema-v2)
S89-D-EFF-RICHARDSON-LMAX-18-LMAX-14-BASELINE-SCAN: PASS -- value='ratio_18_14_extrapol=4.6967e-01;ratio_14_10_emp=3.6485e-01;alpha_fit=2.9966;R2=1.0000;resid_inf_minus_hk5=-2.62e-05' scheme=zeta-zeta-spectral-action convention=lizzi-zeta-spectral-action-L_max-scan-CASIMIR-BOUND-OPERATIONAL-S87-W1B-3-PROVEN-AT-14 L_max=14 audit_sha256=33cc5fdd29ad13e5e688870f1bb5b5f17868e275341e93d04d067348594bcdc9 content_sha256=f53d8ad95ccfac4040805db46e967c2bfdfa9aa65dd3c4defea3e76110b8de16 schema_version=S87+
# audit_sha256_short=33cc5fdd29ad13e5 content_sha256_short=f53d8ad95ccfac40 # S89-D-EFF-RICHARDSON-LMAX-18-LMAX-14-BASELINE-SCAN dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=MARGINAL # S89-D-EFF-RICHARDSON-LMAX-18-LMAX-14-BASELINE-SCAN 3-tuple annotation (S87 schema-v2)
S89-CORNER-IV-K-WINDOW-LOG-DERIVATIVE-RECOMPUTE: PASS -- value='L_emp=-7.046336;rel_diff_canonical_pct=0.0000;closer_to_canonical=True;P_GGE_at_K_h=6.4920e-03;sign=PASS;mag=PASS;reg=VALID' scheme=volovik-superfluid-universe-GGE convention=corner-iv-k-window-log-derivative-S87-W2-3-anchor L_max=10 audit_sha256=b9f4df82d7d2b79c96de0466b12768780b9edf7175db3e2c26fff80d9258a1dc content_sha256=fbc1c71c34fe6526eee7e781dcca3a6b0516a210a35e0599c507c9622a6406f2 schema_version=S87+
# audit_sha256_short=b9f4df82d7d2b79c content_sha256_short=fbc1c71c34fe6526 # S89-CORNER-IV-K-WINDOW-LOG-DERIVATIVE-RECOMPUTE dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S89-CORNER-IV-K-WINDOW-LOG-DERIVATIVE-RECOMPUTE 3-tuple annotation (S87 schema-v2)
S89-CORNER-IV-K-WINDOW-LMAX-SCAN-LEVEL-2-ENVELOPE: INFO -- value='alpha=5.0679;R2=0.9244;hkr=1;L2_class=Level-2-binding;L_emp_at_L12=-7.046336;L12_sanity_diff=0.00e+00;sign=N/A;mag=FAIL;reg=MARGINAL' scheme=volovik-superfluid-universe-GGE convention=corner-iv-k-window-lmax-scan-level-2-envelope-CASIMIR-BOUND-PROXY L_max=12 audit_sha256=2943d4072574e062fbff3ab389830b2e42dc4a1b9bf43d0c2e5ad8fd1f6e81a2 content_sha256=c7850e74df643a4ac308bd5b7eaff851c062bad24abb56ef5bd93d4d37cc9ad7 schema_version=S87+
# audit_sha256_short=2943d4072574e062 content_sha256_short=c7850e74df643a4a # S89-CORNER-IV-K-WINDOW-LMAX-SCAN-LEVEL-2-ENVELOPE dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=FAIL regime_verdict=MARGINAL # S89-CORNER-IV-K-WINDOW-LMAX-SCAN-LEVEL-2-ENVELOPE 3-tuple annotation (S87 schema-v2)
S89-PLAN-STALENESS-PRE-FLIGHT-VALIDATOR: PASS -- value='build_PASS_3fixtures_PASS_eligibility_self_test_PASS_lines_substantive=280' scheme=methodology-layer-F-image convention=orchestrator-direct-write-METHODOLOGY-CLASS L_max=N/A audit_sha256=0c8e4e5a7e9d1fc7cf0219a44bee5318e97a2078b062aa142168431aa3c434d0 content_sha256=5f3702998b075ae11fc6a2cbf625da5ef6a550a2e64306fd1eeb0583e6a40fad schema_version=S87+
# audit_sha256_short=0c8e4e5a7e9d1fc7 content_sha256_short=5f3702998b075ae1 # S89-PLAN-STALENESS-PRE-FLIGHT-VALIDATOR dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S89-PLAN-STALENESS-PRE-FLIGHT-VALIDATOR 3-tuple annotation (S87 schema-v2)
S89-MELLIN-MOMENT-PIN-F0-F2-F4-PROVENANCE-AUDIT: FAIL -- value='audit_built_PASS;live_run_FAIL_SCRIPT-NOT-FOUND;declared_route=Route-A;actual_route=SCRIPT-NOT-FOUND;registry_anchor_dangling-reference' scheme=AST-parse-signature-set-classification convention=orchestrator-direct-write-METHODOLOGY-CLASS L_max=N/A audit_sha256=9f7a203def8301f7589501b7d73030097ceeb060cd714b1be785f0737619aa5f content_sha256=22c4096119ba94f1b09b25d6ad2fb092665931223d281948129c92f0493e8982 schema_version=S87+
# audit_sha256_short=9f7a203def8301f7 content_sha256_short=22c4096119ba94f1 # S89-MELLIN-MOMENT-PIN-F0-F2-F4-PROVENANCE-AUDIT dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=FAIL regime_verdict=VALID # S89-MELLIN-MOMENT-PIN-F0-F2-F4-PROVENANCE-AUDIT 3-tuple annotation (S87 schema-v2)
S89-AUDIT-SCRIPT-EXTENSIONS-COMBINED: PASS -- value='combined_pass=true;sub_item_i=PASS_1A_PASS_1B_FAIL_expected;sub_item_ii=PASS_2_FAIL_expected_conflation;sub_item_iii=PASS_3A_FAIL_3B_PASS_expected;sub_item_iv=PASS_4A_PASS_4B_FAIL_expected' scheme=methodology-layer-F-image-extension convention=orchestrator-direct-write-METHODOLOGY-CLASS L_max=N/A audit_sha256=006f02107827fd71b8ff7d2902d93d30b0c4d25ddc6539b3226fa3936495f157 content_sha256=cfcdbd3a353d87fb4339234cb2c64cfa2579104e5080f8c0c0c690e3c422e28d schema_version=S87+
# audit_sha256_short=006f02107827fd71 content_sha256_short=cfcdbd3a353d87fb # S89-AUDIT-SCRIPT-EXTENSIONS-COMBINED dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S89-AUDIT-SCRIPT-EXTENSIONS-COMBINED 3-tuple annotation (S87 schema-v2)
S89-FWD-C2-OBSERVABLE-DISAMBIGUATION: PASS -- value='outcome=corner-iv-singleton;corner_cell=IV;hit_PASS=1;anatomy=5/5;ladder=3/3;L2_sub_class_explicit=1;cross_corner=PASS-distinct-corners;slot=§VII.AV;stage=STAGE-1-CANDIDATE;sign=N/A;mag=PASS;reg=VALID' scheme=bridge-anatomy-pre-registration convention=fwd-c2-disambiguation-S89-W5 L_max=12 audit_sha256=2eeb881b16b66298f87e486debd7e91d2d070c1ffe9bdb41a7bf54e51c623db5 content_sha256=03d68ddc7fac5045a07912030b537770bc093cf047502a6213c059bff73f1aa1 schema_version=S87+
# audit_sha256_short=2eeb881b16b66298 content_sha256_short=03d68ddc7fac5045 # S89-FWD-C2-OBSERVABLE-DISAMBIGUATION dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S89-FWD-C2-OBSERVABLE-DISAMBIGUATION 3-tuple annotation (S87 schema-v2)
S89-W25-CLOSING-PARAGRAPH-COHERENCE-SWEEP-AUDIT: PASS -- value='composite=PASS;n_rule_files=3;n_self_contradictions=0;v3-closure-recovery=strict-conjunctive;cross-pillar-bridge-anatomy=strict-conjunctive;joint-theorem-promotion=strict-conjunctive;k_counter_advance=K1_to_K2_toward_K3_MANDATORY' scheme=EG1-3-step-application convention=orchestrator-direct-write-METHODOLOGY-CLASS L_max=N/A audit_sha256=19fbec2aa973911750b53ad2d0c33bb0295e4c2a5b4aa49a8d3b248378b3829b content_sha256=16c2729ca688c4f5f7fd8205aa92b61d0601377f64c03e23e4db70d7a5cd9303 schema_version=S87+
# audit_sha256_short=19fbec2aa9739117 content_sha256_short=16c2729ca688c4f5 # S89-W25-CLOSING-PARAGRAPH-COHERENCE-SWEEP-AUDIT dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S89-W25-CLOSING-PARAGRAPH-COHERENCE-SWEEP-AUDIT 3-tuple annotation (S87 schema-v2)
S89-PRU-CLASS-8-3-RETROACTIVE-AUDIT-W6A-51: INFO -- value='verdict=INFO;reason=W6a_51_plan_file_NOT_FOUND;severity=MANDATORY;meta_remediation=restore_W6a_plan_OR_update_downstream_anchors' scheme=PRU-Class-8-3-retroactive convention=orchestrator-direct-write-METHODOLOGY-CLASS L_max=N/A audit_sha256=1702e4a4372f3ded203305beaf7bfad0296251cc2884f7d9c7a70e0330debc32 content_sha256=20c99be87eb60e035f617f9f4a452dfceb48437dfa681651dbbde4e309f39c96 schema_version=S87+
# audit_sha256_short=1702e4a4372f3ded content_sha256_short=20c99be87eb60e03 # S89-PRU-CLASS-8-3-RETROACTIVE-AUDIT-W6A-51 dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=INFO regime_verdict=VALID # S89-PRU-CLASS-8-3-RETROACTIVE-AUDIT-W6A-51 3-tuple annotation (S87 schema-v2)
S89-VII-U-2-AUDIT-RE-RUN-CORNER-I-PRESERVATION: FAIL -- value='vii_u_2_actual_corner=II;text_level_verdict=FAIL;vii_u_family_mates_corner_I_OK_existing_audit_PASS_for_VII_U_1_VII_U_6;structural_finding=VII_U_2_classifies_as_Corner_II_Var_a_n_a_GGE_NOT_Corner_I_baseline;remediation=route_to_mack_cosmic_bridge_for_VII_U_2_reconciliation' scheme=post-V.1+V.3-edit-verification convention=orchestrator-direct-write-METHODOLOGY-CLASS L_max=N/A audit_sha256=a81981bd17ef58bbd6e053a6278a0abe2f1120cc388a1b0650c6c5f114c57d3f content_sha256=d756c1599b3011e18db4ef6bac82a2f148d7a26f75bcda61e33ad33c2b04ba61 schema_version=S87+
# audit_sha256_short=a81981bd17ef58bb content_sha256_short=d756c1599b3011e1 # S89-VII-U-2-AUDIT-RE-RUN-CORNER-I-PRESERVATION dual-SHA companion row (W9a-99 split)
# sign_verdict=FAIL magnitude_verdict=FAIL regime_verdict=VALID # S89-VII-U-2-AUDIT-RE-RUN-CORNER-I-PRESERVATION 3-tuple annotation (S87 schema-v2)
S89-D-MAX-MEASUREMENT-W9B-2-VS-FULL-PV-PIPELINE: INFO -- value='D_max=2.167828;w9b2_schematic=-1.0;pv_proxy=6.795e-3;severity_band=MANDATORY_S1;Lambda_UV=M_KK=7.4287e16_GeV;L_max=10;class_d_routing=PIN-DERIVATIVE-VS-SOURCE-PRIMARY;schematic_vs_full_physical=DEFERRED_CO-AUTHOR_CONNES-NCG;cross_wave_A14_npz_AVAILABLE=False' scheme=substrate-distance-2-pole-Mellin-residue convention=SCHEMATIC-vs-SCHEMATIC-PROXY-PV-D_max-measurement-CO-AUTHOR-CONNES-NCG-DEFERRED L_max=10 audit_sha256=47b60f4d68a1665a9fdaa4e4e7666c0e54b2e67d9a8a47d42913f00d455958d6 content_sha256=61c495cafb3c20456d4b36aa91cfc02dce17a94fe4d257c81fde801015f01ebd schema_version=S87+
# audit_sha256_short=47b60f4d68a1665a content_sha256_short=61c495cafb3c2045 # S89-D-MAX-MEASUREMENT-W9B-2-VS-FULL-PV-PIPELINE dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=FAIL regime_verdict=VALID # S89-D-MAX-MEASUREMENT-W9B-2-VS-FULL-PV-PIPELINE 3-tuple annotation (S87 schema-v2)
S89-SOURCE-RECONCILIATION-CLASS-D-ROUTING-EXTENSION: PASS -- value='all_pass=true;fixture_1_W4-2_PASS;fixture_2_W9b-2_PASS;fixture_3_NOT-IN-CLASS-D-CORPUS_PASS;live_cross_check_A41_W9b-2_PASS;extension_function_class_d_inheritance_routing_present_in_source_reconciliation_audit' scheme=calibration-corpus-keyed-routing convention=orchestrator-direct-write-METHODOLOGY-CLASS L_max=N/A audit_sha256=43e9a1bd69a6a544719cce9effc9f99d1feb976405404f68921e01be7fa9ab51 content_sha256=f4660ac6d6a0d5a1b299101dded287a9471d860b9a182e247944d9387eeb2291 schema_version=S87+
# audit_sha256_short=43e9a1bd69a6a544 content_sha256_short=f4660ac6d6a0d5a1 # S89-SOURCE-RECONCILIATION-CLASS-D-ROUTING-EXTENSION dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S89-SOURCE-RECONCILIATION-CLASS-D-ROUTING-EXTENSION 3-tuple annotation (S87 schema-v2)
S89-TAU-2X-FOLD-CROSS-VALIDATION-READING-A-VS-READING-B: FAIL -- value='R_emp=0.798766;R_A_pred=1.0124;R_B_pred=2.0000;slope_A_inf_tau019=15.886610;slope_A_inf_tau038=12.689679;baseline_PASS=0;reading_winner=neither_(sub-geometric;_HK-5_fails);sign=FAIL;mag=FAIL;reg=BREAKDOWN' scheme=zeta-zeta-spectral-action convention=lizzi-zeta-spectral-action-tau-2x-fold-cross-validation-OPERATIONAL-LMAX-ASYMMETRIC L_max=6 audit_sha256=fcc59c5539ce710d68ee05deb1f2a37669dc4cbce1e1284f51045fde19d5164a content_sha256=09030fbf69b3e1b15caae2c591f0736e45fc3ae183dd2f1cb119dbdc9491af1e schema_version=S87+
# audit_sha256_short=fcc59c5539ce710d content_sha256_short=09030fbf69b3e1b1 # S89-TAU-2X-FOLD-CROSS-VALIDATION-READING-A-VS-READING-B dual-SHA companion row (W9a-99 split)
# sign_verdict=FAIL magnitude_verdict=FAIL regime_verdict=BREAKDOWN # S89-TAU-2X-FOLD-CROSS-VALIDATION-READING-A-VS-READING-B 3-tuple annotation (S87 schema-v2)
S89-FWD-C1-RETRY-PARAMETERIZED-SLOPE-A-CANONICAL: INFO -- value='c_sub_corrected=2.238000;c_sub_ratio=1.000000;n_s_recomputed=0.956100;n_s_FW_match=1;planck_sigma=2.0952;slope_A_paramet=10.1224;hit_PASS=1;slot=§VII.AU;stage=STAGE-1-CANDIDATE;sign=N/A;mag=INFO;reg=VALID' scheme=zeta-zeta-spectral-action convention=lizzi-fwd-c1-retry-parameterized-slope-A-canonical L_max=10 audit_sha256=273efb4b4e24e07bc372812cd53537a95afef9d268e41590109966ee5284cc67 content_sha256=3ce49a8114604236e7cdeb19df8cd81a4b0e91bb7db9b46b238f75521a9df96e schema_version=S87+
# audit_sha256_short=273efb4b4e24e07b content_sha256_short=3ce49a8114604236 # S89-FWD-C1-RETRY-PARAMETERIZED-SLOPE-A-CANONICAL dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=INFO regime_verdict=VALID # S89-FWD-C1-RETRY-PARAMETERIZED-SLOPE-A-CANONICAL 3-tuple annotation (S87 schema-v2)
S89-A24-SUBSTRATE-IS-MELLIN-CONE-CLOSURE-DERIVATION: PASS -- value='identity_q_holds=True;perfect_square=True;sage_qq_cross_check=True' scheme=Mellin-cone-substrate-distance-1 convention=Route-B-inversion-Sage-QQ-exact L_max=N/A audit_sha256=01c1ac83569dc92f3660613817b29bb009e564635c6adc4b72207a172c66bb17 content_sha256=61570333f1500d9a13608d45adfa3eef1adf0b35b71c0a295c8c3adae3bc96e9 schema_version=S87+
# audit_sha256_short=01c1ac83569dc92f content_sha256_short=61570333f1500d9a # S89-A24-SUBSTRATE-IS-MELLIN-CONE-CLOSURE-DERIVATION dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S89-A24-SUBSTRATE-IS-MELLIN-CONE-CLOSURE-DERIVATION 3-tuple annotation (S87 schema-v2)
S89-HEAT-KERNEL-ANCHOR-SWEEP-W7A-74-PRIMARY: PASS -- value='N=4/5;reading_A_WIN=1;max_bootstrap_sigma=0.0000;reading_winner=Reading-A_WIN_N=4/5_>=_4;sign=N/A;mag=PASS;reg=VALID' scheme=heat-kernel-rank-ordering convention=lizzi-w7a74-PRIMARY-5-anchor-sweep-substrate-distance-2-pole-4-SCHEMATIC L_max=12 audit_sha256=884db5e02fff4d9791c94ad0140edc77158355d189faa26491dc83e5b9cbbc50 content_sha256=57ae89ba7f30092db0954eb27413774a1a1b82c6d235866a2e2933f6de11a7a2 schema_version=S87+
# audit_sha256_short=884db5e02fff4d97 content_sha256_short=57ae89ba7f30092d # S89-HEAT-KERNEL-ANCHOR-SWEEP-W7A-74-PRIMARY dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S89-HEAT-KERNEL-ANCHOR-SWEEP-W7A-74-PRIMARY 3-tuple annotation (S87 schema-v2)
S89-A24-C-SUB-CORRECTED-ANCHOR-VERIFICATION: PASS -- value='c_sub_corrected=14.528574;sign=PASS;magnitude=PASS;regime=VALID;pin_landed=True' scheme=substrate-distance-1-FWD-C1-anchor convention=geometric-resummation-Reading-A-Z-factor-PIVOT55-closure L_max=10 audit_sha256=d7826bcb41f873da15d4c6a54cda6035b611d4091cc68da6cdea5adee6ec546f content_sha256=9f24088eea51bf972131e68b253f57a00748391fea1768dc510e84da7e8fd359 schema_version=S87+
# audit_sha256_short=d7826bcb41f873da content_sha256_short=9f24088eea51bf97 # S89-A24-C-SUB-CORRECTED-ANCHOR-VERIFICATION dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S89-A24-C-SUB-CORRECTED-ANCHOR-VERIFICATION 3-tuple annotation (S87 schema-v2)
S89-SAGE-EXACT-SPEARMAN-CROSS-CHECK-OF-A36: PASS -- value='decision_rule_consistent=1;N_float=4;N_sage=4;reading_A_WIN_float=1;reading_A_WIN_sage=1;max_abs_diff=5.551e-17;rank_ties=0;sign=N/A;mag=PASS;reg=VALID' scheme=heat-kernel-rank-ordering-sage-QQ-cross-check convention=lizzi-a37-sage-QQ-cross-check-of-a36 L_max=12 audit_sha256=c946827f9116062f0301f60c942963d0c5a4c924b35b9f7733c3db991e540ace content_sha256=412d6aaad138010aca01c2fc549d17b975e9456d6b0e4bad4ab882b4867b9337 schema_version=S87+
# audit_sha256_short=c946827f9116062f content_sha256_short=412d6aaad138010a # S89-SAGE-EXACT-SPEARMAN-CROSS-CHECK-OF-A36 dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S89-SAGE-EXACT-SPEARMAN-CROSS-CHECK-OF-A36 3-tuple annotation (S87 schema-v2)
S89-A24-FWD-C1-PILLAR-I-II-BRIDGE-LANDING-VII-AU: FAIL -- value='slot=§VII.AAU.OP-PROJ;5_anatomy=True;3_level=True;hybrid_independence=True;element_2_oe_form=False;element_3_binding=substrate-self-consistent;algebra_axis_cell=I;operator_projection_suffix=OP-PROJ;stage=STAGE-1-CANDIDATE;verify_section_matches=True;K_advance=3to4' scheme=cross-pillar-bridge-FWD-C1-Pillar-I-II convention=registry-landing-single-shot-AFTER-pattern L_max=10 audit_sha256=c857179040b40224d8e8484cbb3b0ced077b380c3be4a3d9758ecb9c58e44dff content_sha256=c4c822006abe525ce54eb099fb68763dae7f9fe41685f383564da8bfa0cbdc92 schema_version=S87+
# audit_sha256_short=c857179040b40224 content_sha256_short=c4c822006abe525c # S89-A24-FWD-C1-PILLAR-I-II-BRIDGE-LANDING-VII-AU dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=FAIL regime_verdict=VALID # S89-A24-FWD-C1-PILLAR-I-II-BRIDGE-LANDING-VII-AU 3-tuple annotation (S87 schema-v2)
S89-A24-FWD-C1-PILLAR-I-II-BRIDGE-LANDING-VII-AU: FAIL -- value='slot=§VII.AU.OP-PROJ;5_anatomy=True;3_level=True;hybrid_independence=True;element_2_oe_form=False;element_3_binding=substrate-self-consistent;algebra_axis_cell=I;operator_projection_suffix=OP-PROJ;stage=STAGE-1-CANDIDATE;verify_section_matches=True;K_advance=3to4;supersedes=c857179040b40224d8e8484cbb3b0ced077b380c3be4a3d9758ecb9c58e44dff' scheme=cross-pillar-bridge-FWD-C1-Pillar-I-II convention=registry-landing-single-shot-AFTER-pattern L_max=10 audit_sha256=f1fae96aae6d401bb8bfa6ffa9525d61eb1b2dfe9d0014de775867ad089e97d0 content_sha256=9d663791b1694aebc048b713a292c54be435fae85397fba6d1513ec05507ad57 schema_version=S87+
# audit_sha256_short=f1fae96aae6d401b content_sha256_short=9d663791b1694aeb # S89-A24-FWD-C1-PILLAR-I-II-BRIDGE-LANDING-VII-AU dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=FAIL regime_verdict=VALID # S89-A24-FWD-C1-PILLAR-I-II-BRIDGE-LANDING-VII-AU 3-tuple annotation (S87 schema-v2)
S89-A24-FWD-C1-PILLAR-I-II-BRIDGE-LANDING-VII-AU: FAIL -- value='slot=§VII.AV.OP-PROJ;5_anatomy=True;3_level=True;hybrid_independence=True;element_2_oe_form=True;element_3_binding=substrate-self-consistent;algebra_axis_cell=I;operator_projection_suffix=OP-PROJ;stage=STAGE-1-CANDIDATE;verify_section_matches=True;K_advance=3to4;supersedes=c857179040b40224d8e8484cbb3b0ced077b380c3be4a3d9758ecb9c58e44dff' scheme=cross-pillar-bridge-FWD-C1-Pillar-I-II convention=registry-landing-single-shot-AFTER-pattern L_max=10 audit_sha256=cc18126581ddd9a1ea0fa9f92e4d881219773fc363f749be082c8f2b429cc61d content_sha256=3a13702ea33ad84da89982cd8894eedea04000a2a99aa2924044c808a890217d schema_version=S87+
# audit_sha256_short=cc18126581ddd9a1 content_sha256_short=3a13702ea33ad84d # S89-A24-FWD-C1-PILLAR-I-II-BRIDGE-LANDING-VII-AU dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=FAIL regime_verdict=VALID # S89-A24-FWD-C1-PILLAR-I-II-BRIDGE-LANDING-VII-AU 3-tuple annotation (S87 schema-v2)
