## S10 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 0
## Verdict files scanned: 0
## Plan files scanned: 57
## Session .md files scanned (cited_in scope): 1
## Total edges (deduped): 102
## Edge types: succ_of
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:succ_of] gates:S104-SWMAX-MPMATH-EDGE -> gates:S104-VIIAM-L11-ANCHOR  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/session-104-plan-w1.md | match='## §W1-2. S104-SWMAX-MPMATH-EDGE'
[EDGE:succ_of] gates:S102-FALSIFIER-SURFACE-FREEZE -> gates:CF-S102-BF-SPINE-VS-LCDM  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-102-plan-w5.md | match='## §W5-4. S102-FALSIFIER-SURFACE-FREEZE'
[EDGE:succ_of] gates:S102-INTERPRETIVE-DOF-LEDGER -> gates:S102-FALSIFIER-SURFACE-FREEZE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-102-plan-w5.md | match='## §W5-5. S102-INTERPRETIVE-DOF-LEDGER'
[EDGE:succ_of] gates:S102-NS-FUNCTIONAL-COMMIT -> gates:S102-INTERPRETIVE-DOF-LEDGER  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-102-plan-w5.md | match='## §W5-6. S102-NS-FUNCTIONAL-COMMIT'
[EDGE:succ_of] gates:CF-W5-1 -> gates:CF-S102-X696-FULLCC-RATIO-STABILITY  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-102-plan-w6.md | match='## §W6-2. CF-W5-1 (S102-AF1-CHAIN-LINK-FAILURE)'
[EDGE:succ_of] gates:S102-ANALYTIC-HM-CERTIFICATION -> gates:CF-W5-1  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-102-plan-w6.md | match='## §W6-3. S102-ANALYTIC-HM-CERTIFICATION (OPTIONAL — DROP FIRST under capacity)'
[EDGE:succ_of] gates:CF-S102-LADDER-PHASE-RESOLVED -> gates:CF-S102-OQ5-RECTIFIED-DRIVE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-102-plan-w7.md | match='## §W7-2. CF-S102-LADDER-PHASE-RESOLVED'
[EDGE:succ_of] gates:CF-S102-B2-EPS2-WZ-HOLONOMY -> gates:CF-S102-LADDER-PHASE-RESOLVED  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-102-plan-w7.md | match='## §W7-3. CF-S102-B2-EPS2-WZ-HOLONOMY'
[EDGE:succ_of] gates:S103-LAMBDA2-MONOTONICITY-REGISTRY-LANDING -> gates:S103-NO-SIGN-HANDLE-REGISTRY-LANDING  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-103-plan-w1.md | match='## §W1-2. S103-LAMBDA2-MONOTONICITY-REGISTRY-LANDING'
[EDGE:succ_of] gates:S103-CKM-TRIALITY-TEXTURE-REGISTRY-LANDING -> gates:S103-LAMBDA2-MONOTONICITY-REGISTRY-LANDING  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-103-plan-w1.md | match='## §W1-3. S103-CKM-TRIALITY-TEXTURE-REGISTRY-LANDING'
[EDGE:succ_of] gates:CF-S103-VIIBR-ORDER-CLAUSE-PATCH -> gates:S103-CKM-TRIALITY-TEXTURE-REGISTRY-LANDING  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-103-plan-w1.md | match='## §W1-4. CF-S103-VIIBR-ORDER-CLAUSE-PATCH'
[EDGE:succ_of] gates:S103-B2-ISOBREAK-REGISTRY-LANDING -> gates:CF-S103-VIIBR-ORDER-CLAUSE-PATCH  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-103-plan-w1.md | match='## §W1-5. S103-B2-ISOBREAK-REGISTRY-LANDING'
[EDGE:succ_of] gates:S103-VIIBS-CLAUSE-B-SCOPE-ANNOTATION -> gates:S103-B2-ISOBREAK-REGISTRY-LANDING  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-103-plan-w1.md | match='## §W1-6. S103-VIIBS-CLAUSE-B-SCOPE-ANNOTATION'
[EDGE:succ_of] gates:S103-ATLAS09-ROWS -> gates:S103-VIIBS-CLAUSE-B-SCOPE-ANNOTATION  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-103-plan-w1.md | match='## §W1-7. S103-ATLAS09-ROWS'
[EDGE:succ_of] gates:S103-S7-LC-TIER1-REANCHOR -> gates:S103-NNU-BUNDLE-EXHAUSTIVENESS  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-103-plan-w2.md | match='## §W2-2. S103-S7-LC-TIER1-REANCHOR'
[EDGE:succ_of] gates:S103-VIIAM-LINDEXED-ANCHOR -> gates:S103-S7-LC-TIER1-REANCHOR  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-103-plan-w2.md | match='## §W2-3. S103-VIIAM-LINDEXED-ANCHOR'
[EDGE:succ_of] gates:S103-FOREIGN-STACK-B1B2 -> gates:S103-VIIAM-LINDEXED-ANCHOR  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-103-plan-w2.md | match='## §W2-4. S103-FOREIGN-STACK-B1B2'
[EDGE:succ_of] gates:S103-B2-WZ-HOLONOMY-COSET2 -> gates:S103-FAMP-TOLERANCE-REPIN  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-103-plan-w3.md | match='## §W3-2. S103-B2-WZ-HOLONOMY-COSET2'
[EDGE:succ_of] gates:S103-Q28-LAYER2-A6 -> gates:S103-BRANCH-IV-DEEP-TRUNCATION  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-103-plan-w5.md | match='## §W5-2. S103-Q28-LAYER2-A6'
