## S86 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G7
## Files scanned: 27 (+ 38 in workshops/)
## Total edges (deduped): 167
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] gates:86:c1_exflation_proposal.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/c1_exflation_proposal.md | match='**Author**: volovik-superfluid-universe-theorist'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-mellin-cone-repair-or-no-go.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-mellin-cone-repair-or-no-go.md | match='## Round 2 — connes'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-mellin-cone-repair-or-no-go.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-mellin-cone-repair-or-no-go.md | match='## Round 3 — lizzi'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-mellin-cone-repair-or-no-go.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-mellin-cone-repair-or-no-go.md | match='## Round 3 — connes'
[EDGE:participates_in] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-path-c-double-double-fail-reassessment.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-path-c-double-double-fail-reassessment.md | match='lizzi (lizzi-spectral-functional-theorist)'
[EDGE:participates_in] researchers:transit-dynamics-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-path-c-double-double-fail-reassessment.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-path-c-double-double-fail-reassessment.md | match='transit (transit-dynamics-theorist)'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-path-c-double-double-fail-reassessment.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-path-c-double-double-fail-reassessment.md | match='## Round 1 — lizzi'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-path-c-double-double-fail-reassessment.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-path-c-double-double-fail-reassessment.md | match='## Round 2 — lizzi'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-path-c-double-double-fail-reassessment.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-path-c-double-double-fail-reassessment.md | match='## Round 3 — lizzi'
[EDGE:participates_in] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-permission-topology-methodology-unification.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-permission-topology-methodology-unification.md | match='lizzi (lizzi-spectral-functional-theorist)'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-permission-topology-methodology-unification.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-permission-topology-methodology-unification.md | match='connes (connes-ncg-theorist)'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-permission-topology-methodology-unification.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-permission-topology-methodology-unification.md | match='## Round 1 — lizzi'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-permission-topology-methodology-unification.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-permission-topology-methodology-unification.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-permission-topology-methodology-unification.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-permission-topology-methodology-unification.md | match='## Round 2 — lizzi'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-permission-topology-methodology-unification.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-permission-topology-methodology-unification.md | match='## Round 2 — connes'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-permission-topology-methodology-unification.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-permission-topology-methodology-unification.md | match='## Round 3 — lizzi'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-permission-topology-methodology-unification.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-permission-topology-methodology-unification.md | match='## Round 3 — connes'
[EDGE:participates_in] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-r-dual-pathway-bk-array-and-nT.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-r-dual-pathway-bk-array-and-nT.md | match='volovik (volovik-superfluid-universe-theorist)'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-r-dual-pathway-bk-array-and-nT.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-r-dual-pathway-bk-array-and-nT.md | match='connes (connes-ncg-theorist)'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-r-dual-pathway-bk-array-and-nT.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-r-dual-pathway-bk-array-and-nT.md | match='## Round 1 — volovik'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-r-dual-pathway-bk-array-and-nT.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-r-dual-pathway-bk-array-and-nT.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-r-dual-pathway-bk-array-and-nT.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-r-dual-pathway-bk-array-and-nT.md | match='## Round 2 — volovik'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-r-dual-pathway-bk-array-and-nT.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-r-dual-pathway-bk-array-and-nT.md | match='## Round 2 — connes'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-r-dual-pathway-bk-array-and-nT.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-r-dual-pathway-bk-array-and-nT.md | match='## Round 3 — volovik'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-r-dual-pathway-bk-array-and-nT.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-r-dual-pathway-bk-array-and-nT.md | match='## Round 3 — connes'
[EDGE:participates_in] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-sector-2-split-layer-taxonomy.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-sector-2-split-layer-taxonomy.md | match='lizzi (lizzi-spectral-functional-theorist)'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-sector-2-split-layer-taxonomy.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-sector-2-split-layer-taxonomy.md | match='connes (connes-ncg-theorist)'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-sector-2-split-layer-taxonomy.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-sector-2-split-layer-taxonomy.md | match='## Round 1 — lizzi'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-sector-2-split-layer-taxonomy.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-sector-2-split-layer-taxonomy.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-sector-2-split-layer-taxonomy.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-sector-2-split-layer-taxonomy.md | match='## Round 2 — lizzi'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-sector-2-split-layer-taxonomy.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-sector-2-split-layer-taxonomy.md | match='## Round 2 — connes'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-sector-2-split-layer-taxonomy.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-sector-2-split-layer-taxonomy.md | match='## Round 3 — lizzi'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-sector-2-split-layer-taxonomy.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-sector-2-split-layer-taxonomy.md | match='## Round 3 — connes'
[EDGE:participates_in] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-two-layer-obstruction-s67-frustration.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-two-layer-obstruction-s67-frustration.md | match='lizzi (lizzi-spectral-functional-theorist)'
[EDGE:participates_in] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-two-layer-obstruction-s67-frustration.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-two-layer-obstruction-s67-frustration.md | match='volovik (volovik-superfluid-universe-theorist)'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-two-layer-obstruction-s67-frustration.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-two-layer-obstruction-s67-frustration.md | match='## Round 1 — lizzi'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-two-layer-obstruction-s67-frustration.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-two-layer-obstruction-s67-frustration.md | match='## Round 1 — volovik'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-two-layer-obstruction-s67-frustration.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-two-layer-obstruction-s67-frustration.md | match='## Round 2 — lizzi'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-two-layer-obstruction-s67-frustration.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-two-layer-obstruction-s67-frustration.md | match='## Round 2 — volovik'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-two-layer-obstruction-s67-frustration.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-two-layer-obstruction-s67-frustration.md | match='## Round 3 — lizzi'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-86/workshops/s86-two-layer-obstruction-s67-frustration.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-86/workshops/s86-two-layer-obstruction-s67-frustration.md | match='## Round 3 — volovik'
[EDGE:authored_by] gates:sessions/archive/session-86/workshops/session-86-1a-s1-connes.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/workshops/session-86-1a-s1-connes.md | match='**Agent**: connes-ncg-theorist (Workhorse-NCG)'
[EDGE:authored_by] gates:sessions/archive/session-86/workshops/session-86-1a-s1-gen-physicist.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/workshops/session-86-1a-s1-gen-physicist.md | match='**Agent**: gen-physicist (Workhorse-Gen-Physicist) — Slot 1a, Entry S-1'
[EDGE:authored_by] gates:sessions/archive/session-86/workshops/session-86-1a-s1-volovik.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/workshops/session-86-1a-s1-volovik.md | match='**Agent**: volovik-superfluid-universe-theorist (volovik)'
[EDGE:authored_by] gates:sessions/archive/session-86/workshops/session-86-1a-s2-gen-physicist.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/workshops/session-86-1a-s2-gen-physicist.md | match='**Author**: gen-physicist (cross-domain workhorse)'
[EDGE:authored_by] gates:sessions/archive/session-86/workshops/session-86-1a-s3-lizzi.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/workshops/session-86-1a-s3-lizzi.md | match='**Agent**: lizzi-spectral-functional-theorist (lizzi)'
[EDGE:cites_prior_session] gates:sessions/archive/session-86/workshops/session-86-1a-s3-lizzi.md -> sessions:86  # G7 | conf=provenance-block | src=sessions/archive/session-86/workshops/session-86-1a-s3-lizzi.md | match='> **Provenance**: S86 W1a Slot 1a entry S-3 (lizzi-spectral-functional-theorist,'
[EDGE:authored_by] gates:sessions/archive/session-86/workshops/session-86-1a-s4-kaku.md -> researchers:kaku-speculative-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/workshops/session-86-1a-s4-kaku.md | match='**Agent**: kaku-speculative-theorist (Dreamer; cross-domain pattern detector; sp'
[EDGE:authored_by] gates:sessions/archive/session-86/workshops/session-86-1a-s4-mack.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/workshops/session-86-1a-s4-mack.md | match='**Agent**: mack-cosmic-bridge (Cosmic Bridge — particle/astrophysics interface)'
[EDGE:authored_by] gates:sessions/archive/session-86/workshops/session-86-1a-s4-volovik.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/workshops/session-86-1a-s4-volovik.md | match='**Agent**: volovik-superfluid-universe-theorist (volovik)'
[EDGE:authored_by] gates:sessions/archive/session-86/workshops/session-86-1a-s5-kaku.md -> researchers:kaku-speculative-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/workshops/session-86-1a-s5-kaku.md | match='**Agent**: kaku-speculative-theorist (kaku)'
[EDGE:authored_by] gates:sessions/archive/session-86/workshops/session-86-1a-s5-landau.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/workshops/session-86-1a-s5-landau.md | match='**Agent**: landau-condensed-matter-theorist (Landau)'
[EDGE:authored_by] gates:sessions/archive/session-86/workshops/session-86-1a-s5-volovik.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/workshops/session-86-1a-s5-volovik.md | match='**Agent**: volovik-superfluid-universe-theorist (volovik)'
[EDGE:authored_by] gates:sessions/archive/session-86/workshops/session-86-1a-s6-gen-physicist.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/workshops/session-86-1a-s6-gen-physicist.md | match='**Agent**: gen-physicist (cross-domain workhorse)'
[EDGE:cites_prior_session] gates:sessions/archive/session-86/workshops/session-86-1a-s6-gen-physicist.md -> sessions:86  # G7 | conf=provenance-block | src=sessions/archive/session-86/workshops/session-86-1a-s6-gen-physicist.md | match='> **Provenance**: S86 1a Slot S-6 architectural review (gen-physicist, 2026-04-2'
[EDGE:authored_by] gates:sessions/archive/session-86/workshops/session-86-1a-s6-mack.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/workshops/session-86-1a-s6-mack.md | match='**Agent**: mack-cosmic-bridge (mack)'
[EDGE:authored_by] gates:sessions/archive/session-86/workshops/session-86-1a-s7-connes.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/workshops/session-86-1a-s7-connes.md | match='**Agent**: connes-ncg-theorist (connes)'
[EDGE:authored_by] gates:sessions/archive/session-86/workshops/session-86-1a-s7-lizzi.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/workshops/session-86-1a-s7-lizzi.md | match='**Agent**: lizzi-spectral-functional-theorist (Slot 1a, entry S-7)'
[EDGE:authored_by] gates:sessions/archive/session-86/workshops/session-86-1a-s8-mack.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/workshops/session-86-1a-s8-mack.md | match='**Agent**: mack-cosmic-bridge (Cosmic Bridge)'
[EDGE:authored_by] gates:sessions/archive/session-86/workshops/session-86-1a-s8-volovik.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/workshops/session-86-1a-s8-volovik.md | match='**Agent**: volovik-superfluid-universe-theorist'
[EDGE:cites_prior_session] gates:sessions/archive/session-86/workshops/session-86-1a-s8-volovik.md -> sessions:86  # G7 | conf=provenance-block | src=sessions/archive/session-86/workshops/session-86-1a-s8-volovik.md | match='> **Provenance**: S86 W12-4 §6(e) cross-cutting finding (mack-cosmic-bridge,'
[EDGE:authored_by] gates:sessions/archive/session-86/workshops/session-86-1b-s10-connes.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/workshops/session-86-1b-s10-connes.md | match='**Agent**: connes-ncg-theorist (Workhorse-NCG)'
[EDGE:authored_by] gates:sessions/archive/session-86/workshops/session-86-1b-s10-mack.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/workshops/session-86-1b-s10-mack.md | match='**Agent**: mack-cosmic-bridge (Slot 1b, entry S-10)'
[EDGE:authored_by] gates:sessions/archive/session-86/workshops/session-86-1b-s11-connes.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/workshops/session-86-1b-s11-connes.md | match='**Agent**: connes-ncg-theorist (Workhorse-NCG)'
[EDGE:authored_by] gates:sessions/archive/session-86/workshops/session-86-1b-s12-connes.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/workshops/session-86-1b-s12-connes.md | match='**Agent**: connes-ncg-theorist (Workhorse-NCG)'
[EDGE:cites_prior_session] gates:sessions/archive/session-86/workshops/session-86-1b-s12-connes.md -> sessions:86  # G7 | conf=provenance-block | src=sessions/archive/session-86/workshops/session-86-1b-s12-connes.md | match='> **Provenance**: structural map produced by S86 slot 1b S-12 (connes-ncg-theori'
[EDGE:authored_by] gates:sessions/archive/session-86/workshops/session-86-1b-s13-gen-physicist.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/workshops/session-86-1b-s13-gen-physicist.md | match='**Agent**: gen-physicist (workhorse)'
[EDGE:cites_prior_session] gates:sessions/archive/session-86/workshops/session-86-1b-s13-gen-physicist.md -> sessions:86  # G7 | conf=provenance-block | src=sessions/archive/session-86/workshops/session-86-1b-s13-gen-physicist.md | match='> **Provenance**: S86 W3 6/6 PRE-REG-INC closure via `computations/s86_w3_pre_re'
[EDGE:authored_by] gates:sessions/archive/session-86/workshops/session-86-1b-s14-gen-physicist.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/workshops/session-86-1b-s14-gen-physicist.md | match='**Agent**: gen-physicist (Workhorse-Gen-Physicist)'
[EDGE:authored_by] gates:sessions/archive/session-86/workshops/session-86-1b-s14-volovik.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/workshops/session-86-1b-s14-volovik.md | match='**Agent**: volovik-superfluid-universe-theorist (volovik)'
[EDGE:authored_by] gates:sessions/archive/session-86/workshops/session-86-1b-s9-lizzi.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-86/workshops/session-86-1b-s9-lizzi.md | match='**Agent**: `lizzi-spectral-functional-theorist`'
