## S88 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G7
## Files scanned: 27 (+ 55 in workshops/)
## Total edges (deduped): 121
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] gates:88:session-88-w10-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/session-88-w10-workingpaper.md | match='**Agent**: `connes-ncg-theorist`'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-88/workshops/s88-w27-w8-95-vii-x-w4-1-stage2-info.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w27-w8-95-vii-x-w4-1-stage2-info.md | match='## Round 3 — connes'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-88/workshops/s88-w28-w9-106-hbw-bernstein-convention.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w28-w9-106-hbw-bernstein-convention.md | match='connes (connes-ncg-theorist)'
[EDGE:participates_in] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-88/workshops/s88-w28-w9-106-hbw-bernstein-convention.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w28-w9-106-hbw-bernstein-convention.md | match='lizzi (lizzi-spectral-functional-theorist)'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-88/workshops/s88-w28-w9-106-hbw-bernstein-convention.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w28-w9-106-hbw-bernstein-convention.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-88/workshops/s88-w28-w9-106-hbw-bernstein-convention.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w28-w9-106-hbw-bernstein-convention.md | match='## Round 1 — lizzi'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-88/workshops/s88-w28-w9-106-hbw-bernstein-convention.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w28-w9-106-hbw-bernstein-convention.md | match='## Round 2 — connes'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-88/workshops/s88-w28-w9-106-hbw-bernstein-convention.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w28-w9-106-hbw-bernstein-convention.md | match='## Round 2 — lizzi'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-88/workshops/s88-w28-w9-106-hbw-bernstein-convention.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w28-w9-106-hbw-bernstein-convention.md | match='## Round 3 — connes'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-88/workshops/s88-w28-w9-106-hbw-bernstein-convention.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w28-w9-106-hbw-bernstein-convention.md | match='## Round 3 — lizzi'
[EDGE:participates_in] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-88/workshops/s88-w29-w9-109-chi-invariance-vs-annihilation.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w29-w9-109-chi-invariance-vs-annihilation.md | match='volovik (volovik-superfluid-universe-theorist)'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-88/workshops/s88-w29-w9-109-chi-invariance-vs-annihilation.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w29-w9-109-chi-invariance-vs-annihilation.md | match='connes (connes-ncg-theorist)'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-88/workshops/s88-w29-w9-109-chi-invariance-vs-annihilation.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w29-w9-109-chi-invariance-vs-annihilation.md | match='## Round 1 — volovik'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-88/workshops/s88-w29-w9-109-chi-invariance-vs-annihilation.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w29-w9-109-chi-invariance-vs-annihilation.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:volovik-superfluid-universe-theorist -> data_provenance:sessions/archive/session-88/workshops/s88-w29-w9-109-chi-invariance-vs-annihilation.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w29-w9-109-chi-invariance-vs-annihilation.md | match='## Round 2 — volovik'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-88/workshops/s88-w29-w9-109-chi-invariance-vs-annihilation.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w29-w9-109-chi-invariance-vs-annihilation.md | match='## Round 2 — connes'
[EDGE:participates_in] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-88/workshops/s88-w30-w10-111-per-pole-hbw.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w30-w10-111-per-pole-hbw.md | match='lizzi (lizzi-spectral-functional-theorist)'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-88/workshops/s88-w30-w10-111-per-pole-hbw.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w30-w10-111-per-pole-hbw.md | match='connes (connes-ncg-theorist)'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-88/workshops/s88-w30-w10-111-per-pole-hbw.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w30-w10-111-per-pole-hbw.md | match='## Round 1 — lizzi'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-88/workshops/s88-w30-w10-111-per-pole-hbw.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w30-w10-111-per-pole-hbw.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-88/workshops/s88-w30-w10-111-per-pole-hbw.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w30-w10-111-per-pole-hbw.md | match='## Round 2 — lizzi'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-88/workshops/s88-w30-w10-111-per-pole-hbw.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w30-w10-111-per-pole-hbw.md | match='## Round 2 — connes'
[EDGE:authored_round] researchers:lizzi-spectral-functional-theorist -> data_provenance:sessions/archive/session-88/workshops/s88-w30-w10-111-per-pole-hbw.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w30-w10-111-per-pole-hbw.md | match='## Round 3 — lizzi'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:sessions/archive/session-88/workshops/s88-w30-w10-111-per-pole-hbw.md#round-3  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w30-w10-111-per-pole-hbw.md | match='## Round 3 — connes'
[EDGE:authored_by] gates:sessions/archive/session-88/workshops/s88-w4-w1b1-composite-reading.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w4-w1b1-composite-reading.md | match='**Agent**: landau-condensed-matter-theorist (solo review)'
[EDGE:authored_by] gates:sessions/archive/session-88/workshops/s88-w5-w1c-69-sign-pass-tautology.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w5-w1c-69-sign-pass-tautology.md | match='**Agent**: mack-cosmic-bridge (solo review; no opposing agent — sagan-e
[EDGE:authored_by] gates:sessions/archive/session-88/workshops/s88-w6-w1c-69-page1976-13oom.md -> researchers:hawking-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w6-w1c-69-page1976-13oom.md | match='**Agent**: hawking-theorist (solo review; sagan-empiricist domain absorbed v
[EDGE:authored_by] gates:sessions/archive/session-88/workshops/s88-w7-w2-2-v4-triality.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w7-w2-2-v4-triality.md | match='**Agent**: connes-ncg-theorist (solo review)'
[EDGE:authored_by] gates:sessions/archive/session-88/workshops/s88-w8-w3a-w3c-priority.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w8-w3a-w3c-priority.md | match='**Agent**: volovik-superfluid-universe-theorist (solo structural review)'
[EDGE:authored_by] gates:sessions/archive/session-88/workshops/s88-w9-w3a-18-surrogate-fail-info-value.md -> researchers:sagan-empiricist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-88/workshops/s88-w9-w3a-18-surrogate-fail-info-value.md | match='**Agent**: sagan-empiricist (Sagan)'
