## S93 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 10
## Verdict files scanned: 1
## Plan files scanned: 13
## Session .md files scanned (cited_in scope): 30
## Total edges (deduped): 96
## Edge types: anchored_in,carries_forward,cited_in,succ_of
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:carries_forward] sessions:93 -> gates:CF-S94-VII-AR-PASS-A-CONTINUOUS-PARAM-SUBSTRATE-DERIVATION  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-93/session-93-w5-workingpaper.md | match='### CF-S94-VII-AR-PASS-A-CONTINUOUS-PARAM-SUBSTRATE-DERIVATION — substrate-physi'
[EDGE:succ_of] gates:S93-W4-4-VII-AX-STATE-PROJ-COMPANION-LANDING -> gates:S93-W4-3-N-PBH-CANONICAL-TRUNCATION-FACTORIZATION  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-93-plan-w4.md | match='## §W4-4. S93-W4-4-VII-AX-STATE-PROJ-COMPANION-LANDING'
[EDGE:succ_of] gates:S93-W4-5-CANONICAL-CONSTANTS-N-PBH-FW-CENTRAL-PROMOTION -> gates:S93-W4-4-VII-AX-STATE-PROJ-COMPANION-LANDING  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-93-plan-w4.md | match='## §W4-5. S93-W4-5-CANONICAL-CONSTANTS-N-PBH-FW-CENTRAL-PROMOTION'
[EDGE:succ_of] gates:S93-W4-6-FWD-C5-K2-SUBSTRATE-DISTANCE-3-POLE-S5-CARDINALITY-CASCADE-SHOULDER -> gates:S93-W4-5-CANONICAL-CONSTANTS-N-PBH-FW-CENTRAL-PROMOTION  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-93-plan-w4.md | match='## §W4-6. S93-W4-6-FWD-C5-K2-SUBSTRATE-DISTANCE-3-POLE-S5-CARDINALITY-CASCADE-SHOULDER'
[EDGE:succ_of] gates:S93-W5-2-VII-AY-ELEMENT-5-TOLERANCE-STAGE-2-STAGE-3 -> gates:S93-W5-1-SUBSTRATE-COCYCLE-RATIO-67-88-R-MACHINE-RECOMPUTE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-93-plan-w5.md | match='## §W5-2. S93-W5-2-VII-AY-ELEMENT-5-TOLERANCE-STAGE-2-STAGE-3'
[EDGE:succ_of] gates:S93-W5-3-VII-AR-FULL-TIER-N4-RETRY -> gates:S93-W5-2-VII-AY-ELEMENT-5-TOLERANCE-STAGE-2-STAGE-3  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-93-plan-w5.md | match='## §W5-3. S93-W5-3-VII-AR-FULL-TIER-N4-RETRY'
[EDGE:succ_of] gates:S93-W5-4-VII-AR-FILTER-GEOMETRY-AUDIT -> gates:S93-W5-3-VII-AR-FULL-TIER-N4-RETRY  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-93-plan-w5.md | match='## §W5-4. S93-W5-4-VII-AR-FILTER-GEOMETRY-AUDIT'
[EDGE:succ_of] gates:S93-W5-5-VII-AW-OP-PROJ-STAGE-3-PERMANENT-PROMOTION -> gates:S93-W5-4-VII-AR-FILTER-GEOMETRY-AUDIT  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-93-plan-w5.md | match='## §W5-5. S93-W5-5-VII-AW-OP-PROJ-STAGE-3-PERMANENT-PROMOTION'
[EDGE:succ_of] gates:S93-W5-6-VII-AW-SLOT-RENAME -> gates:S93-W5-5-VII-AW-OP-PROJ-STAGE-3-PERMANENT-PROMOTION  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-93-plan-w5.md | match='## §W5-6. S93-W5-6-VII-AW-SLOT-RENAME'
[EDGE:succ_of] gates:S93-W6-2-VII-AZ-OP-PROJ-ELEMENT-4-SUB-CLASS-TAG-REPLACEMENT -> gates:S93-W6-1-VII-AQ-OP-PROJ-STAGE-3-PATI-SALAM-SU4-ALGEBRA-EXTENSION  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-93-plan-w6.md | match='## §W6-2. S93-W6-2-VII-AZ-OP-PROJ-ELEMENT-4-SUB-CLASS-TAG-REPLACEMENT'
[EDGE:succ_of] gates:S93-W6-3-VII-BB-STAGE-2-CROSS-AXIS-VERIFY-REGIME-IDENTITY -> gates:S93-W6-2-VII-AZ-OP-PROJ-ELEMENT-4-SUB-CLASS-TAG-REPLACEMENT  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-93-plan-w6.md | match='## §W6-3. S93-W6-3-VII-BB-STAGE-2-CROSS-AXIS-VERIFY-REGIME-IDENTITY'
[EDGE:succ_of] gates:S93-W6-4-FWD-C4-PATI-SALAM-STAGE-2-CROSS-AXIS-VERIFY-LEVEL-3 -> gates:S93-W6-3-VII-BB-STAGE-2-CROSS-AXIS-VERIFY-REGIME-IDENTITY  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-93-plan-w6.md | match='## §W6-4. S93-W6-4-FWD-C4-PATI-SALAM-STAGE-2-CROSS-AXIS-VERIFY-LEVEL-3'
[EDGE:succ_of] gates:S93-W7-2-K-CSUB-R-FULL-PHYSICAL-RETRY -> gates:S93-W7-1-ALPHA-S-W-KAPPA-FACTORIZATION-DEG-TRANSPORT-BZ-PIVOT  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-93-plan-w7.md | match='## §W7-2. S93-W7-2-K-CSUB-R-FULL-PHYSICAL-RETRY'
[EDGE:succ_of] gates:S93-W7-3-FOLD-ENERGY-WINDOWED-DS-GATE -> gates:S93-W7-2-K-CSUB-R-FULL-PHYSICAL-RETRY  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-93-plan-w7.md | match='## §W7-3. S93-W7-3-FOLD-ENERGY-WINDOWED-DS-GATE'
[EDGE:succ_of] gates:S93-W8-2-NARROW-PATH-CASIMIR-TABLE -> gates:S93-W8-1-NARROW-PATH-EIGENVALUE-INVENTORY  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-93-plan-w8.md | match='## §W8-2. S93-W8-2-NARROW-PATH-CASIMIR-TABLE'
[EDGE:succ_of] gates:S93-W8-3-NARROW-PATH-CAUCHY-SCHWARZ-JOINT-PREFLIGHT -> gates:S93-W8-2-NARROW-PATH-CASIMIR-TABLE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-93-plan-w8.md | match='## §W8-3. S93-W8-3-NARROW-PATH-CAUCHY-SCHWARZ-JOINT-PREFLIGHT (HIGHEST-EVOI)'
[EDGE:succ_of] gates:S93-W8-4-NARROW-PATH-DIMENSIONAL-PREFACTOR-PIN -> gates:S93-W8-3-NARROW-PATH-CAUCHY-SCHWARZ-JOINT-PREFLIGHT  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-93-plan-w8.md | match='## §W8-4. S93-W8-4-NARROW-PATH-DIMENSIONAL-PREFACTOR-PIN'
[EDGE:succ_of] gates:S93-W8-5-NARROW-PATH-WORKSHOP-1-GATE-PREREG -> gates:S93-W8-4-NARROW-PATH-DIMENSIONAL-PREFACTOR-PIN  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-93-plan-w8.md | match='## §W8-5. S93-W8-5-NARROW-PATH-WORKSHOP-1-GATE-PREREG'
[EDGE:succ_of] gates:S93-W8-6-NARROW-PATH-PRE-POST-BOGOLIUBOV-RATIO -> gates:S93-W8-5-NARROW-PATH-WORKSHOP-1-GATE-PREREG  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-93-plan-w8.md | match='## §W8-6. S93-W8-6-NARROW-PATH-PRE-POST-BOGOLIUBOV-RATIO'
[EDGE:succ_of] gates:S93-W8-7-NARROW-PATH-WORKSHOP-6-DISPATCH -> gates:S93-W8-6-NARROW-PATH-PRE-POST-BOGOLIUBOV-RATIO  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-93-plan-w8.md | match='## §W8-7. S93-W8-7-NARROW-PATH-WORKSHOP-6-DISPATCH (GATED ON W8-3)'
[EDGE:succ_of] gates:S93-W9-2-PLAN-CORPUS-SECTION-NUMBER-DRIFT-DETECTOR -> gates:S93-W9-1-PLAN-LINE-ANCHOR-VALIDATOR  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-93-plan-w9.md | match='## §W9-2. S93-W9-2-PLAN-CORPUS-SECTION-NUMBER-DRIFT-DETECTOR'
[EDGE:succ_of] gates:S93-W9-3-BRIDGE-MAP-SCHEME-SUFFIX-K3-MANDATORY-THIRD-INSTANCE -> gates:S93-W9-2-PLAN-CORPUS-SECTION-NUMBER-DRIFT-DETECTOR  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-93-plan-w9.md | match='## §W9-3. S93-W9-3-BRIDGE-MAP-SCHEME-SUFFIX-K3-MANDATORY-THIRD-INSTANCE'
[EDGE:succ_of] gates:S93-W9-4-PER-BULLETIN-PER-POLE-K3-ADVANCEMENT -> gates:S93-W9-3-BRIDGE-MAP-SCHEME-SUFFIX-K3-MANDATORY-THIRD-INSTANCE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-93-plan-w9.md | match='## §W9-4. S93-W9-4-PER-BULLETIN-PER-POLE-K3-ADVANCEMENT'
[EDGE:succ_of] gates:S93-W9-5-LAYER-FUNCTOR-F-VERDICT-SHAPE-CONSISTENCY-REFORMULATION-WORKSHOP -> gates:S93-W9-4-PER-BULLETIN-PER-POLE-K3-ADVANCEMENT  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-93-plan-w9.md | match='## §W9-5. S93-W9-5-LAYER-FUNCTOR-F-VERDICT-SHAPE-CONSISTENCY-REFORMULATION-WORKSHOP'
