## S89 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 7
## Verdict files scanned: 1
## Plan files scanned: 9
## Session .md files scanned (cited_in scope): 24
## Total edges (deduped): 113
## Edge types: anchored_in,carries_forward,cited_in,succ_of
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:carries_forward] sessions:89 -> gates:CF-W1-3-RETRY  # CF_HEADING_RE | role=predecessor | conf=heading-parsed | src=sessions/archive/session-89/session-89-w1-workingpaper.md | match='### CF-W1-3-RETRY — Refined species-multiplicity table with lattice-QCD-correcte'
[EDGE:succ_of] gates:S89-3HEB-EXCESS-INHERITANCE-CONNES-KAROUBI-PAIRING-CANONICAL -> gates:S89-INDEPENDENT-CHI-PRIME-INHERITANCE-MORPHISM-M2C-CL1-TARGET  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-89-plan-w2.md | match='## §W2-4. S89-3HEB-EXCESS-INHERITANCE-CONNES-KAROUBI-PAIRING-CANONICAL (Ledger A.20)'
[EDGE:succ_of] gates:S89-CHIRALITY-FIDELITY-3-PROXY-RECOMPUTE-CS-GV-ETACS -> gates:S89-3HEB-EXCESS-INHERITANCE-CONNES-KAROUBI-PAIRING-CANONICAL  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-89-plan-w2.md | match='## §W2-5. S89-CHIRALITY-FIDELITY-3-PROXY-RECOMPUTE-CS-GV-ETACS (Ledger A.40)'
[EDGE:succ_of] gates:S89-D-EFF-CM-1995-SECTION-III-4-SECOND-ORDER-JENSEN-PERTURBATION -> gates:S89-XI-KZ-SUBSTRATE-NATURAL-DERIVATION-FROM-T1-ATLAS  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-89-plan-w3.md | match='## §W3-2. S89-D-EFF-CM-1995-SECTION-III-4-SECOND-ORDER-JENSEN-PERTURBATION (A.9)'
[EDGE:succ_of] gates:S89-SUBSTRATE-COCYCLE-RATIO-REGULATOR-CLASS-INVARIANCE-SCAN -> gates:S89-D-EFF-CM-1995-SECTION-III-4-SECOND-ORDER-JENSEN-PERTURBATION  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-89-plan-w3.md | match='## §W3-3. S89-SUBSTRATE-COCYCLE-RATIO-REGULATOR-CLASS-INVARIANCE-SCAN (A.14)'
[EDGE:succ_of] gates:S89-V4-SAGE-QQ-ENUMERATION-EXTENDED-SECTORS -> gates:S89-SUBSTRATE-COCYCLE-RATIO-REGULATOR-CLASS-INVARIANCE-SCAN  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-89-plan-w3.md | match='## §W3-4. S89-V4-SAGE-QQ-ENUMERATION-EXTENDED-SECTORS (A.16)'
[EDGE:succ_of] gates:S89-SUBSTRATE-CLOCK-CANCELLATION-DISCRIMINATING-PREDICATE-GATE -> gates:S89-V4-SAGE-QQ-ENUMERATION-EXTENDED-SECTORS  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-89-plan-w3.md | match='## §W3-5. S89-SUBSTRATE-CLOCK-CANCELLATION-DISCRIMINATING-PREDICATE-GATE (A.17)'
[EDGE:succ_of] gates:S89-SUBSTRATE-CLOCK-PINNING-UNIQUENESS-DERIVATION -> gates:S89-SUBSTRATE-CLOCK-CANCELLATION-DISCRIMINATING-PREDICATE-GATE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-89-plan-w3.md | match='## §W3-6. S89-SUBSTRATE-CLOCK-PINNING-UNIQUENESS-DERIVATION (A.18)'
[EDGE:succ_of] gates:S89-HIGHER-ORDER-RESOLVENT-EXPANSION-O-TAU2-KAPPA2 -> gates:S89-SUBSTRATE-CLOCK-PINNING-UNIQUENESS-DERIVATION  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-89-plan-w3.md | match='## §W3-7. S89-HIGHER-ORDER-RESOLVENT-EXPANSION-O-TAU2-KAPPA2 (A.29)'
[EDGE:succ_of] gates:S89-SU-N-CROSS-VALIDATION-5PI-CHAIN -> gates:S89-HIGHER-ORDER-RESOLVENT-EXPANSION-O-TAU2-KAPPA2  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-89-plan-w3.md | match='## §W3-8. S89-SU-N-CROSS-VALIDATION-5PI-CHAIN (A.32)'
[EDGE:succ_of] gates:S89-HK-5-REGIME-OF-VALIDITY-TAU-MAX-BOUND-DERIVATION -> gates:S89-SU-N-CROSS-VALIDATION-5PI-CHAIN  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-89-plan-w3.md | match='## §W3-9. S89-HK-5-REGIME-OF-VALIDITY-TAU-MAX-BOUND-DERIVATION (A.35)'
[EDGE:succ_of] gates:S89-FOUR-CORNER-STAGE-2-CROSS-AXIS-VERIFY-DUAL-BASIS -> gates:S89-SUBSTRATE-CANONICAL-14-STATE-BASIS-RE-RUN  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-89-plan-w4.md | match='## §W4-2. S89-FOUR-CORNER-STAGE-2-CROSS-AXIS-VERIFY-DUAL-BASIS (A.10)'
[EDGE:succ_of] gates:S89-VII-W-3-LAB-STAGE-2-THREE-AGENT-CROSS-AXIS-VERIFY -> gates:S89-FOUR-CORNER-STAGE-2-CROSS-AXIS-VERIFY-DUAL-BASIS  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-89-plan-w4.md | match='## §W4-3. S89-VII-W-3-LAB-STAGE-2-THREE-AGENT-CROSS-AXIS-VERIFY (A.12)'
[EDGE:succ_of] gates:S89-JOINT-N-S-ALPHA-S-HYPERSURFACE-LAB-DISCRIMINATION-STAGE-2 -> gates:S89-VII-W-3-LAB-STAGE-2-THREE-AGENT-CROSS-AXIS-VERIFY  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-89-plan-w4.md | match='## §W4-4. S89-JOINT-N-S-ALPHA-S-HYPERSURFACE-LAB-DISCRIMINATION-STAGE-2 (A.21)'
[EDGE:succ_of] gates:S89-VII-AR-STAGE-2-CROSS-AXIS-VERIFY -> gates:S89-JOINT-N-S-ALPHA-S-HYPERSURFACE-LAB-DISCRIMINATION-STAGE-2  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-89-plan-w4.md | match='## §W4-5. S89-VII-AR-STAGE-2-CROSS-AXIS-VERIFY (A.30)'
[EDGE:succ_of] gates:S89-VII-AQ-STAGE-2-CROSS-AXIS-CANONICAL-IMPORT-BINDING -> gates:S89-VII-AR-STAGE-2-CROSS-AXIS-VERIFY  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-89-plan-w4.md | match='## §W4-6. S89-VII-AQ-STAGE-2-CROSS-AXIS-CANONICAL-IMPORT-BINDING (A.38)'
[EDGE:succ_of] gates:S89-VII-AH-STAGE-2-RE-DISPATCH-OBS2-OBS3 -> gates:S89-VII-AQ-STAGE-2-CROSS-AXIS-CANONICAL-IMPORT-BINDING  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-89-plan-w4.md | match='## §W4-7. S89-VII-AH-STAGE-2-RE-DISPATCH-OBS2-OBS3 (A.39)'
[EDGE:succ_of] gates:S89-CORNER-IV-K-WINDOW-LOG-DERIVATIVE-RECOMPUTE -> gates:S89-D-EFF-RICHARDSON-LMAX-18-LMAX-14-BASELINE-SCAN  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-89-plan-w5.md | match='## §W5-2. S89-CORNER-IV-K-WINDOW-LOG-DERIVATIVE-RECOMPUTE (A.25)'
[EDGE:succ_of] gates:S89-CORNER-IV-K-WINDOW-LMAX-SCAN-LEVEL-2-ENVELOPE -> gates:S89-CORNER-IV-K-WINDOW-LOG-DERIVATIVE-RECOMPUTE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-89-plan-w5.md | match='## §W5-3. S89-CORNER-IV-K-WINDOW-LMAX-SCAN-LEVEL-2-ENVELOPE (A.26)'
[EDGE:succ_of] gates:S89-FWD-C2-OBSERVABLE-DISAMBIGUATION -> gates:S89-CORNER-IV-K-WINDOW-LMAX-SCAN-LEVEL-2-ENVELOPE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-89-plan-w5.md | match='## §W5-4. S89-FWD-C2-OBSERVABLE-DISAMBIGUATION (A.27)'
[EDGE:succ_of] gates:S89-TAU-2X-FOLD-CROSS-VALIDATION-READING-A-VS-READING-B -> gates:S89-FWD-C2-OBSERVABLE-DISAMBIGUATION  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-89-plan-w5.md | match='## §W5-5. S89-TAU-2X-FOLD-CROSS-VALIDATION-READING-A-VS-READING-B (A.28)'
[EDGE:succ_of] gates:S89-FWD-C1-RETRY-PARAMETERIZED-SLOPE-A-CANONICAL -> gates:S89-TAU-2X-FOLD-CROSS-VALIDATION-READING-A-VS-READING-B  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-89-plan-w5.md | match='## §W5-6. S89-FWD-C1-RETRY-PARAMETERIZED-SLOPE-A-CANONICAL (A.31)'
[EDGE:succ_of] gates:S89-HEAT-KERNEL-ANCHOR-SWEEP-W7A-74-PRIMARY -> gates:S89-FWD-C1-RETRY-PARAMETERIZED-SLOPE-A-CANONICAL  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-89-plan-w5.md | match='## §W5-7. S89-HEAT-KERNEL-ANCHOR-SWEEP-W7A-74-PRIMARY (A.36)'
[EDGE:succ_of] gates:S89-SAGE-EXACT-SPEARMAN-CROSS-CHECK-OF-A36 -> gates:S89-HEAT-KERNEL-ANCHOR-SWEEP-W7A-74-PRIMARY  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-89-plan-w5.md | match='## §W5-8. S89-SAGE-EXACT-SPEARMAN-CROSS-CHECK-OF-A36 (A.37)'
[EDGE:succ_of] gates:S89-MELLIN-MOMENT-PIN-F0-F2-F4-PROVENANCE-AUDIT -> gates:S89-PLAN-STALENESS-PRE-FLIGHT-VALIDATOR  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-89-plan-w6.md | match='## §W6-2. S89-MELLIN-MOMENT-PIN-F0-F2-F4-PROVENANCE-AUDIT (A.19)'
[EDGE:succ_of] gates:S89-AUDIT-SCRIPT-EXTENSIONS-COMBINED -> gates:S89-MELLIN-MOMENT-PIN-F0-F2-F4-PROVENANCE-AUDIT  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-89-plan-w6.md | match='## §W6-3. S89-AUDIT-SCRIPT-EXTENSIONS-COMBINED (A.22)'
[EDGE:succ_of] gates:S89-W25-CLOSING-PARAGRAPH-COHERENCE-SWEEP-AUDIT -> gates:S89-AUDIT-SCRIPT-EXTENSIONS-COMBINED  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-89-plan-w6.md | match='## §W6-4. S89-W25-CLOSING-PARAGRAPH-COHERENCE-SWEEP-AUDIT (A.23)'
[EDGE:succ_of] gates:S89-PRU-CLASS-8-3-RETROACTIVE-AUDIT-W6A-51 -> gates:S89-W25-CLOSING-PARAGRAPH-COHERENCE-SWEEP-AUDIT  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-89-plan-w6.md | match='## §W6-5. S89-PRU-CLASS-8-3-RETROACTIVE-AUDIT-W6A-51 (A.33)'
[EDGE:succ_of] gates:S89-VII-U-2-AUDIT-RE-RUN-CORNER-I-PRESERVATION -> gates:S89-PRU-CLASS-8-3-RETROACTIVE-AUDIT-W6A-51  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-89-plan-w6.md | match='## §W6-6. S89-VII-U-2-AUDIT-RE-RUN-CORNER-I-PRESERVATION (A.34)'
[EDGE:succ_of] gates:S89-D-MAX-MEASUREMENT-W9B-2-VS-FULL-PV-PIPELINE -> gates:S89-VII-U-2-AUDIT-RE-RUN-CORNER-I-PRESERVATION  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-89-plan-w6.md | match='## §W6-7. S89-D-MAX-MEASUREMENT-W9B-2-VS-FULL-PV-PIPELINE (A.41)'
[EDGE:succ_of] gates:S89-SOURCE-RECONCILIATION-CLASS-D-ROUTING-EXTENSION -> gates:S89-D-MAX-MEASUREMENT-W9B-2-VS-FULL-PV-PIPELINE  # PLAN_WAVE_HEADING_RE | role=dispatch-successor | conf=heading-order | src=sessions/session-plan/archive/session-89-plan-w6.md | match='## §W6-8. S89-SOURCE-RECONCILIATION-CLASS-D-ROUTING-EXTENSION (A.42)'
