## S74 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G5
## Files scanned: 16 (+ 0 in workshops/)
## Total edges (deduped): 112
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:74:session-74-einstein-synthesis.md -> researchers:einstein-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-74/session-74-einstein-synthesis.md | match='session-74-einstein-synthesis.md'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:data_provenance:sessions/archive/session-74/session-74-tesla-mack-bells-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-74/session-74-tesla-mack-bells-workshop.md | match='## Round 1 — Mack'
[EDGE:authored_round] researchers:tesla-resonance -> data_provenance:data_provenance:sessions/archive/session-74/session-74-tesla-mack-bells-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-74/session-74-tesla-mack-bells-workshop.md | match='## Round 2 — Tesla'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:data_provenance:sessions/archive/session-74/session-74-tesla-mack-bells-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-74/session-74-tesla-mack-bells-workshop.md | match='## Round 2 — Mack'
[EDGE:authored_by] data_provenance:74:session-74-tesla-synthesis.md -> researchers:tesla-resonance  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-74/session-74-tesla-synthesis.md | match='session-74-tesla-synthesis.md'
[EDGE:authored_by] gates:74:session-74-tesla-synthesis.md -> researchers:tesla-resonance  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-tesla-synthesis.md | match='**Agent**: tesla-resonance (Workhorse-Resonance)'
[EDGE:participates_in] researchers:transit-dynamics-theorist -> data_provenance:data_provenance:sessions/archive/session-74/session-74-transit-einstein-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-74/session-74-transit-einstein-workshop.md | match='transit (transit-dynamics-theorist)'
[EDGE:participates_in] researchers:einstein-theorist -> data_provenance:data_provenance:sessions/archive/session-74/session-74-transit-einstein-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-74/session-74-transit-einstein-workshop.md | match='einstein (einstein-theorist)'
[EDGE:authored_round] researchers:einstein-theorist -> data_provenance:data_provenance:sessions/archive/session-74/session-74-transit-einstein-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-74/session-74-transit-einstein-workshop.md | match='## Round 1 — einstein'
[EDGE:authored_round] researchers:einstein-theorist -> data_provenance:data_provenance:sessions/archive/session-74/session-74-transit-einstein-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-74/session-74-transit-einstein-workshop.md | match='## Round 2 — einstein'
[EDGE:authored_by] gates:74:session-74-transit-synthesis.md -> researchers:transit-dynamics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-transit-synthesis.md | match='**Agent**: transit-dynamics-theorist'
[EDGE:authored_by] data_provenance:74:session-74-volovik-synthesis.md -> researchers:volovik-superfluid-universe-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-74/session-74-volovik-synthesis.md | match='session-74-volovik-synthesis.md'
[EDGE:authored_by] gates:74:session-74-volovik-synthesis.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-74/session-74-volovik-synthesis.md | match='**Agent**: volovik-superfluid-universe-theorist'
