## S88 Chain-of-Custody Edges (generated by tools/harvest_chain_of_custody_edges.py)
## Generated: 2026-06-13T17:43:18Z
## Workingpapers scanned: 24
## Verdict files scanned: 2
## Plan files scanned: 26
## Session .md files scanned (cited_in scope): 99
## Total edges (deduped): 280
## Edge types: anchored_in,cited_in,succ_of
## Extractors: tools/_chain_of_custody_extractors.py (self-test 11/11 PASS)

[EDGE:anchored_in] gates:S88-CF-CURV-5-CASCADE-SCALING-DERIVATION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CF-CURV-5-CASCADE-SCALING-DERIVATION: PASS'
[EDGE:anchored_in] gates:S88-CROSS-AXIS-MULTI-OBSERVABLE-STAGE-2-VERIFY-OBSERVABLE-2-SPECTRAL-SIDE-MACK -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CROSS-AXIS-MULTI-OBSERVABLE-STAGE-2-VERIFY-OBSERVABLE-2-SPECTRAL-SIDE-MACK: PASS'
[EDGE:anchored_in] gates:S88-CROSS-AXIS-MULTI-OBSERVABLE-STAGE-2-VERIFY-OBSERVABLE-3-SPECTRAL-SIDE-MACK -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CROSS-AXIS-MULTI-OBSERVABLE-STAGE-2-VERIFY-OBSERVABLE-3-SPECTRAL-SIDE-MACK: PASS'
[EDGE:anchored_in] gates:S88-CF-27-PIN-RE-PIN-AT-PLAN-FREEZE -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CF-27-PIN-RE-PIN-AT-PLAN-FREEZE: INFO'
[EDGE:anchored_in] gates:S88-MECHANICAL-CLOSURE-DISCIPLINE-LAYER-SEPARABILITY-CARVE-OUT-CLAUSE -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-MECHANICAL-CLOSURE-DISCIPLINE-LAYER-SEPARABILITY-CARVE-OUT-CLAUSE: FAIL'
[EDGE:anchored_in] gates:S88-CONSENSUS-INDEPENDENCE-TEST-LANDING -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CONSENSUS-INDEPENDENCE-TEST-LANDING: PASS'
[EDGE:anchored_in] gates:S88-TYPE-F-ANTISYMMETRIC-CELL-PHASE-RETRY -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-TYPE-F-ANTISYMMETRIC-CELL-PHASE-RETRY: FAIL'
[EDGE:anchored_in] gates:S88-CF-28-ORPHAN-FNL-PATHWAY-REGISTRY-UPDATE -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CF-28-ORPHAN-FNL-PATHWAY-REGISTRY-UPDATE: FAIL'
[EDGE:anchored_in] gates:S88-CHANNEL-LABEL-NORMALIZATION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CHANNEL-LABEL-NORMALIZATION: PASS'
[EDGE:anchored_in] gates:S88-CROSS-PILLAR-BRIDGE-ANATOMY-SCHEMATIC-LAYER-DISTINCTION-LANDING -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CROSS-PILLAR-BRIDGE-ANATOMY-SCHEMATIC-LAYER-DISTINCTION-LANDING: FAIL'
[EDGE:anchored_in] gates:S88-OPERATOR-PROJECTION-READING-A-RULE-PROMOTE -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-OPERATOR-PROJECTION-READING-A-RULE-PROMOTE: PASS'
[EDGE:anchored_in] gates:S88-W8-89-STAGE-2-AXIS-B-VOLOVIK-VERIFY -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-W8-89-STAGE-2-AXIS-B-VOLOVIK-VERIFY: PASS'
[EDGE:anchored_in] gates:S88-CF-25-STAGE-2-AXIS-A-CONNES-VERIFY -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CF-25-STAGE-2-AXIS-A-CONNES-VERIFY: PASS'
[EDGE:anchored_in] gates:S88-W8-89-STAGE-2-AXIS-A-CONNES-VERIFY -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-W8-89-STAGE-2-AXIS-A-CONNES-VERIFY: FAIL'
[EDGE:anchored_in] gates:S88-CF-25-STAGE-2-AXIS-B-VOLOVIK-VERIFY -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CF-25-STAGE-2-AXIS-B-VOLOVIK-VERIFY: INFO'
[EDGE:anchored_in] gates:S88-CF-25-STAGE-2-INDEPENDENT-VERIFY -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CF-25-STAGE-2-INDEPENDENT-VERIFY: INFO'
[EDGE:anchored_in] gates:S88-VERDICT-PERMANENCE-VS-SIG5-RULE-COLLISION-RESOLUTION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-VERDICT-PERMANENCE-VS-SIG5-RULE-COLLISION-RESOLUTION: PASS'
[EDGE:anchored_in] gates:S88-CF-29-SUBSTANTIVE-RUN-VIA-PARTITION-CRITERION-ONLY -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CF-29-SUBSTANTIVE-RUN-VIA-PARTITION-CRITERION-ONLY: PASS'
[EDGE:anchored_in] gates:S88-CF-30-RETROACTIVE-K-COUNT-REVISION-VIA-CF-29-SUBSTANTIVE -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CF-30-RETROACTIVE-K-COUNT-REVISION-VIA-CF-29-SUBSTANTIVE: FAIL'
[EDGE:anchored_in] gates:S88-CF-29-RESUME-AFTER-CF-26-RESOLUTION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CF-29-RESUME-AFTER-CF-26-RESOLUTION: PASS'
[EDGE:anchored_in] gates:S88-CF-30-RESUME-AFTER-CF-29-RESOLUTION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CF-30-RESUME-AFTER-CF-29-RESOLUTION: PASS'
[EDGE:anchored_in] gates:S88-V2-WEIGHT-RE-PRE-REGISTRATION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-V2-WEIGHT-RE-PRE-REGISTRATION: PASS'
[EDGE:anchored_in] gates:S88-OR-LATER-T7-S67-INDEPENDENT-VERIFY-AXIS-TRANSIT -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-OR-LATER-T7-S67-INDEPENDENT-VERIFY-AXIS-TRANSIT: PASS'
[EDGE:anchored_in] gates:S88-SUBSTRATE-IS-PRESERVATION-RANK2-INHERITANCE-THEOREM -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-SUBSTRATE-IS-PRESERVATION-RANK2-INHERITANCE-THEOREM: PASS'
[EDGE:anchored_in] gates:S88-MIN-AXIOM-BUDGET-L8-REDIRECT-INHERITANCE-INVARIANT-THEOREM -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-MIN-AXIOM-BUDGET-L8-REDIRECT-INHERITANCE-INVARIANT-THEOREM: PASS'
[EDGE:anchored_in] gates:S88-CFMSW-FOLLOWUP-VII-AJ-1 -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CFMSW-FOLLOWUP-VII-AJ-1: FAIL'
[EDGE:anchored_in] gates:S88-OR-LATER-T7-S67-INDEPENDENT-VERIFY-AXIS-SPECTRAL -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-OR-LATER-T7-S67-INDEPENDENT-VERIFY-AXIS-SPECTRAL: PASS'
[EDGE:anchored_in] gates:S88-HBW-3C-CONVENTION-AUDIT -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-HBW-3C-CONVENTION-AUDIT: PASS'
[EDGE:anchored_in] gates:S88-L2-FULLY-ADMISSIBLE-4-ROW-LAYERED-RE-NARRATION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-L2-FULLY-ADMISSIBLE-4-ROW-LAYERED-RE-NARRATION: PASS'
[EDGE:anchored_in] gates:S88-CF-W8-A1-A4-A2-CASCADE-INVESTIGATION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CF-W8-A1-A4-A2-CASCADE-INVESTIGATION: PASS'
[EDGE:anchored_in] gates:S88-CF-W8-A2-ENSEMBLE-LEVEL-L2-FULLY-ADMISSIBLE-RE-DERIVATION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CF-W8-A2-ENSEMBLE-LEVEL-L2-FULLY-ADMISSIBLE-RE-DERIVATION: INFO'
[EDGE:anchored_in] gates:S88-CF-W8-M4-LMAX-14-CACHE-REGEN-W8-4-RE-RUN -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CF-W8-M4-LMAX-14-CACHE-REGEN-W8-4-RE-RUN: INFO'
[EDGE:anchored_in] gates:S88-CF-W8-M5-PRIMARY-LIFT-MELLIN-CONE-LIVE-W8-5 -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CF-W8-M5-PRIMARY-LIFT-MELLIN-CONE-LIVE-W8-5: FAIL'
[EDGE:anchored_in] gates:S88-CF-W8-M6-T-F-CELL-W8-6-XOR-COMPLETION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CF-W8-M6-T-F-CELL-W8-6-XOR-COMPLETION: PASS'
[EDGE:anchored_in] gates:S88-OR-LATER-T7-S67-INDEPENDENT-VERIFY -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-OR-LATER-T7-S67-INDEPENDENT-VERIFY: PASS'
[EDGE:anchored_in] gates:S88-LAB-CROSS-REGULATOR-RATIO-FALSIFIER-PROVISIONAL-LATENT-PRE-REG -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-LAB-CROSS-REGULATOR-RATIO-FALSIFIER-PROVISIONAL-LATENT-PRE-REG: PASS'
[EDGE:anchored_in] gates:S88-CF-W8-R3-PLAN-ANCHOR-FILENAME-EXISTENCE-AUDIT-EXTENSION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CF-W8-R3-PLAN-ANCHOR-FILENAME-EXISTENCE-AUDIT-EXTENSION: PASS'
[EDGE:anchored_in] gates:S88-VII-K-PROP-W8-LAYERED-CO-PRIMARY-LANDING -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-VII-K-PROP-W8-LAYERED-CO-PRIMARY-LANDING: PASS'
[EDGE:anchored_in] gates:S88-CF-C-SOURCE-RECONCILIATION-PLAN-FREEZE-CLASS-B-EXTENSION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CF-C-SOURCE-RECONCILIATION-PLAN-FREEZE-CLASS-B-EXTENSION: PASS'
[EDGE:anchored_in] gates:S88-BULLETIN-PER-POLE-PRIMARY-WALL-CLASSIFICATION-RULE-PIN -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-BULLETIN-PER-POLE-PRIMARY-WALL-CLASSIFICATION-RULE-PIN: PASS'
[EDGE:anchored_in] gates:S88-CF-VERDICT-2-CONDITIONAL-CROSS-DISTANCE-THEOREM-DISPATCH -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CF-VERDICT-2-CONDITIONAL-CROSS-DISTANCE-THEOREM-DISPATCH: INFO'
[EDGE:anchored_in] gates:S88-PV-SCHEME-MPMATH-MELLIN-DIRICHLET-VERIFY -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-PV-SCHEME-MPMATH-MELLIN-DIRICHLET-VERIFY: PASS'
[EDGE:anchored_in] gates:S88-PS-AF-L12-RECALIBRATION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-PS-AF-L12-RECALIBRATION: INFO'
[EDGE:anchored_in] gates:S88-CONNES-DISTANCE-SUBALGEBRA-RESTRICTION-CONJECTURE -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CONNES-DISTANCE-SUBALGEBRA-RESTRICTION-CONJECTURE: PASS'
[EDGE:anchored_in] gates:S88-A-N-FW-CANONICALIZATION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-A-N-FW-CANONICALIZATION: PASS'
[EDGE:anchored_in] gates:S88-A0-M2-BICONDITIONAL-RICHER-A_F-TOY -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-A0-M2-BICONDITIONAL-RICHER-A_F-TOY: PASS'
[EDGE:anchored_in] gates:S88-MELLIN-CONE-NO-GO-FULL-LMAX10-RETEST -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-MELLIN-CONE-NO-GO-FULL-LMAX10-RETEST: PASS'
[EDGE:anchored_in] gates:S88-CM-1995-CUTOFF-SQRT-ATLAS-CROSS-CHECK -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-CM-1995-CUTOFF-SQRT-ATLAS-CROSS-CHECK: PASS'
[EDGE:anchored_in] gates:S88-LAMBDA-SA-S46-A2-SPLIT-SUCCESSOR-EMISSION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-LAMBDA-SA-S46-A2-SPLIT-SUCCESSOR-EMISSION: PASS'
[EDGE:anchored_in] gates:S88-LAMBDA-SA-S64-FINITE-L-COMPONENT-SUCCESSOR-EMISSION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-LAMBDA-SA-S64-FINITE-L-COMPONENT-SUCCESSOR-EMISSION: PASS'
[EDGE:anchored_in] gates:S88-LAMBDA-SA-S65-CONTINUUM-CONVERSE-WITNESS-EMISSION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-LAMBDA-SA-S65-CONTINUUM-CONVERSE-WITNESS-EMISSION: PASS'
[EDGE:anchored_in] gates:S88-LAMBDA-SA-S77-A0-R-PROTECTION-SUCCESSOR-EMISSION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-LAMBDA-SA-S77-A0-R-PROTECTION-SUCCESSOR-EMISSION: PASS'
[EDGE:anchored_in] gates:S88-LAMBDA-SA-C9-S86-W1-RATIO-EMISSION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-LAMBDA-SA-C9-S86-W1-RATIO-EMISSION: PASS'
[EDGE:anchored_in] gates:S88-VII-X-2-NECESSITY-PROMOTE-STAGE-3 -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-VII-X-2-NECESSITY-PROMOTE-STAGE-3: INFO'
[EDGE:anchored_in] gates:S88-WINDOWED-PV-SUBTRACTION-AS-SD-REFINEMENT -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-WINDOWED-PV-SUBTRACTION-AS-SD-REFINEMENT: PASS'
[EDGE:anchored_in] gates:S88-DELTA-SPEED-MELLIN-CANONICAL-SOURCING -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-DELTA-SPEED-MELLIN-CANONICAL-SOURCING: FAIL'
[EDGE:anchored_in] gates:S88-NULL-ELIMINATION-BAND-WIDTH-RECONCILIATION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-NULL-ELIMINATION-BAND-WIDTH-RECONCILIATION: PASS'
[EDGE:anchored_in] gates:S88-PATI-SALAM-EMBEDDING-PRESERVES-B1-B2-PARTITION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-PATI-SALAM-EMBEDDING-PRESERVES-B1-B2-PARTITION: INFO'
[EDGE:anchored_in] gates:S88-JOINT-LITEBIRD-LISA-FISHER-INDEPENDENT-VERIFY -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-JOINT-LITEBIRD-LISA-FISHER-INDEPENDENT-VERIFY: INFO'
[EDGE:anchored_in] gates:S88-OR-LATER-EXTENDED-THEOREM-INDEPENDENT-VERIFY -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-OR-LATER-EXTENDED-THEOREM-INDEPENDENT-VERIFY: PASS'
[EDGE:anchored_in] gates:S88-POLE-SCOPE-GENERIC-PLURALISM-VERIFY -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-POLE-SCOPE-GENERIC-PLURALISM-VERIFY: FAIL'
[EDGE:anchored_in] gates:S88-EE-BB-T-CROSS-CORRELATION-DIRECT-CSUB-PROBE -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-EE-BB-T-CROSS-CORRELATION-DIRECT-CSUB-PROBE: FAIL'
[EDGE:anchored_in] gates:S88-F-NL-EQUILATERAL-NON-GAUSSIANITY -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-F-NL-EQUILATERAL-NON-GAUSSIANITY: FAIL'
[EDGE:anchored_in] gates:S88-SR-LO-PER-CLASS-DOWNSTREAM-RESPEC -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-SR-LO-PER-CLASS-DOWNSTREAM-RESPEC: FAIL'
[EDGE:anchored_in] gates:S88-POLE-SPECIFICITY-CROSS-REG-METRIC-DISAMBIGUATION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-POLE-SPECIFICITY-CROSS-REG-METRIC-DISAMBIGUATION: PASS'
[EDGE:anchored_in] gates:S88-OR-LATER-Q-7-CROSS-REGION-PARTITION-APPLICATION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-OR-LATER-Q-7-CROSS-REGION-PARTITION-APPLICATION: PASS'
[EDGE:anchored_in] gates:S88-OR-LATER-Q-8-PER-CLASS-N-BREAKDOWN-FORWARD-MODELING -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-OR-LATER-Q-8-PER-CLASS-N-BREAKDOWN-FORWARD-MODELING: FAIL'
[EDGE:anchored_in] gates:S88-POLE-SPECIFICITY-HIGHER-N-POLES-EXTENSION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-POLE-SPECIFICITY-HIGHER-N-POLES-EXTENSION: PASS'
[EDGE:anchored_in] gates:S88-W9-LCR3-RESOLUTION-SPECIFICITY-T1-21-EXTENSION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-W9-LCR3-RESOLUTION-SPECIFICITY-T1-21-EXTENSION: PASS'
[EDGE:anchored_in] gates:S88-W7-4-LAYER-AUDIT-STEP-F-RUBRIC-REWRITE -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-W7-4-LAYER-AUDIT-STEP-F-RUBRIC-REWRITE: PASS'
[EDGE:anchored_in] gates:S88-NC-TWO-TORUS-FGK-FIXED-POINT-VALIDATION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-NC-TWO-TORUS-FGK-FIXED-POINT-VALIDATION: FAIL'
[EDGE:anchored_in] gates:S88-W7-3-C-GAMMA-WEAK-PRIMARY-LIFT -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-W7-3-C-GAMMA-WEAK-PRIMARY-LIFT: FAIL'
[EDGE:anchored_in] gates:S88-W7-3-N_C-OEIS-LOOKUP -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-W7-3-N_C-OEIS-LOOKUP: FAIL'
[EDGE:anchored_in] gates:S88-W7-4-UNPINNED-L2-PROMOTABLE-CONVERSION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-W7-4-UNPINNED-L2-PROMOTABLE-CONVERSION: PASS'
[EDGE:anchored_in] gates:S88-W7-5-WARRANT-HEAD-SUBTEST-IMPLEMENTATION -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-W7-5-WARRANT-HEAD-SUBTEST-IMPLEMENTATION: INFO'
[EDGE:anchored_in] gates:S88-W7-4-LAYER-2-WARRANT-CHECK-CHAIN -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/session-88/s88_gate_verdicts.txt | match='S88-W7-4-LAYER-2-WARRANT-CHECK-CHAIN: FAIL'
[EDGE:anchored_in] gates:S88-OR-LATER-W5-4-CF65-ETA-GV-REGULATOR-INDEPENDENCE -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/_shared/s88_gate_verdicts.txt | match='S88-OR-LATER-W5-4-CF65-ETA-GV-REGULATOR-INDEPENDENCE: PASS'
[EDGE:anchored_in] gates:S88-BRIDGE-LANDING-SCRIPT-ARCHITECTURE-REFINEMENT -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/_shared/s88_gate_verdicts.txt | match='S88-BRIDGE-LANDING-SCRIPT-ARCHITECTURE-REFINEMENT: PASS'
[EDGE:anchored_in] gates:S88-D-EFF-ANCHOR-CONVENTION-AUDIT -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/_shared/s88_gate_verdicts.txt | match='S88-D-EFF-ANCHOR-CONVENTION-AUDIT: INFO'
[EDGE:anchored_in] gates:S88-A0-M2-BACKWARD-RESCUE-CHARACTERIZATION-FOR-DIVISION-ALGEBRA-CLASS -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/_shared/s88_gate_verdicts.txt | match='S88-A0-M2-BACKWARD-RESCUE-CHARACTERIZATION-FOR-DIVISION-ALGEBRA-CLASS: PASS'
[EDGE:anchored_in] gates:S88-A0-M2-BICONDITIONAL-SPLIT-REGISTRY-LANDING -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/_shared/s88_gate_verdicts.txt | match='S88-A0-M2-BICONDITIONAL-SPLIT-REGISTRY-LANDING: FAIL'
[EDGE:anchored_in] gates:S88-FALSIFIER-INVENTORY-WRITE-LANDING -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/_shared/s88_gate_verdicts.txt | match='S88-FALSIFIER-INVENTORY-WRITE-LANDING: INFO'
[EDGE:anchored_in] gates:S88-FWD-C1-PILLAR-I-II-N-S-BRIDGE-LANDING -> sessions:88  # VERDICT_CANONICAL_RE | role=verdict-line-host | conf=verdict-line | src=computations/_shared/s88_gate_verdicts.txt | match='S88-FWD-C1-PILLAR-I-II-N-S-BRIDGE-LANDING: FAIL'
