CF-S91-V4-K_CANONICAL-MULTI-BRANCH-FOSSIL-TEST: PASS -- value='n_aligned=417/16384_routing=Reading-B-WIN-route-T1.2-priority' scheme=substrate-IS-multi-branch-B-tensor-canonical-S87-W2-3-second-log-derivative convention=V4-Re-V3-Option-gamma-dispatch-routing-Cell-IV-substrate-distance-2-pole-s4-PLAN-OPERATOR-CORRECTED-PER-USER-2026-05-16 L_max=12 audit_sha256=5895dd87c141bf885f3e34602f828872aa9a7b9841b183ff8b3a441801b9ccaa content_sha256=52e91afecb8dcc3bd274daaac95814b8464d4628b2094f464748af1dddbc0092 schema_version=S87+
S91-W2-VII-AW-OP-PROJ-STAGE-2-CROSS-AXIS-INDEPENDENT-VERIFY-AXIS-A: PASS -- value='axis_a=hawking-theorist;clauses_ace_pass=3;clauses_ace_verdicts=(a:PASS,c:PASS,e:PASS);xi_kz_fw_reproduced=0.0187600521136147176;xi_kz_6sigfig_published_in_w3_1=1.876005e-02;xi_kz_6sigfig_match=True;friedrich_baer_certification_PASS=True;fb_bot_K_invariance_L10_eq_L12=True;fb_new_sector_intrusion_count_below_L10=0;fb_new_sector_min_gap_M_KK=2.347615320030598;regulator_invariance_max_rel_dev=0.0000e+00;sat_matrix_p1_p2_p3=(5,4,2);sat_matrix_match=True;p1_unique_strict=True;margin_p1_over_p2=1;all_5_criterion_shas_present=True;OAA_exclusion_PASS=lizzi_connes_volovik_excluded_as_co_signers=True;procedural_floor_PASS=w3_transcripts_not_consumed=False;audit_machinery_self_citation_PASS=4_corner_class_5_criteria_machinery_joint_authored_excluded=True;axis_a_composite=PASS' scheme=stage-2-cross-axis-independent-verify-axis-a-hawking convention=joint-theorem-promotion-stage-2-pass-and-axis-a L_max=10 audit_sha256=0279978226f34fb7801bcb341410eda09f0abeb39be3eb1c29ee805fcd6c9bf5 content_sha256=be6a1d234662eca53cdd6c44482c0ccaae224aea32573e7ec542851e10751d3f schema_version=S87+
# audit_sha256_short=0279978226f34fb7 content_sha256_short=be6a1d234662eca5 # S91-W2-VII-AW-OP-PROJ-STAGE-2-CROSS-AXIS-INDEPENDENT-VERIFY-AXIS-A dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S91-W2-VII-AW-OP-PROJ-STAGE-2-CROSS-AXIS-INDEPENDENT-VERIFY-AXIS-A 3-tuple annotation (S87 schema-v2)
S91-W2-VII-AW-OP-PROJ-STAGE-2-CROSS-AXIS-INDEPENDENT-VERIFY-AXIS-B: INFO -- value='axis_b=mack-cosmic-bridge;clauses_bdf_pass=2;oe_form_PASS_at_k2_mandatory=False;bridge_map_substrate_self_consistent_binding_PASS=True;stage_3_eligibility=ENABLED;substrate_input_orthogonality_at_structural_ceiling=PASS;coi_check_mack_sole_writer_NOT_co_signer_PASS=True;OAA_exclusion_PASS=lizzi_connes_volovik_excluded_as_co_signers' scheme=stage-2-cross-axis-independent-verify-axis-b-mack convention=joint-theorem-promotion-stage-2-pass-and-axis-b L_max=10 audit_sha256=0db7c3c01e6959b945a3f623815929edf2e7fd709816e82dfc4f6b381375d914 content_sha256=17c591dd9cef7232d9d220a4fcc3e7a000175acc23419a4f677b0b7b46ebbfb2 schema_version=S87+
# audit_sha256_short=0db7c3c01e6959b9 content_sha256_short=17c591dd9cef7232 # S91-W2-VII-AW-OP-PROJ-STAGE-2-CROSS-AXIS-INDEPENDENT-VERIFY-AXIS-B dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=INFO regime_verdict=VALID # S91-W2-VII-AW-OP-PROJ-STAGE-2-CROSS-AXIS-INDEPENDENT-VERIFY-AXIS-B 3-tuple annotation (S87 schema-v2)
S91-W6-VII-U-2-VAR-A-STAGE-2-CROSS-AXIS-INDEPENDENT-VERIFY-AXIS-B: INFO -- value='axis_b=volovik-superfluid-universe-theorist;clauses_bdf_pass=2;pillar_2_oe_form_pass=FAIL;gge_state_parse_tree_reduction_pass=True;substrate_input_orthogonality_at_structural_ceiling=PASS_AT_PILLAR_1_PILLAR_2_DUAL_SYMBOL_LAYER;k_counter_substrate_input_orthogonality_advance=K=3_TO_K=4;stage_3_eligibility=BLOCKED;downstream_inheritance_reach_PASS=volovik_memory_no_w17_w6_citation;OAA_exclusion_PASS=connes_lizzi_excluded_as_w17_w6_workshop_authors;procedural_floor_PASS=True;s90_w6_cf51_anchor_pin_PASS=True;var_a_recompute_L10=1.268176e-05;w5b47_L10_raw_pin=7.282490e-06;rel_dev_vs_w5b47_raw=7.4141e-01;substrate_input_overlap_caveat=substrate-input-overlap-at-eigenvalue-cache-decision-pipeline-ORTHOGONAL;cache_path_drift_corrected=runtime_canonical_path_corrected_from_session-87_to_session-84;composite=INFO' scheme=stage-2-cross-axis-independent-verify-axis-b-volovik convention=joint-theorem-promotion-stage-2-pass-and-axis-b-dual-symbol L_max=10 audit_sha256=4f9831c44985986c2768f1d4fd322db553f546556555f1870a5c8e797a10da98 content_sha256=b56267ceb2e689d4366eb38144a50efc1fd7d770bd529a04022a4a146bc228df schema_version=S87+
# audit_sha256_short=4f9831c44985986c content_sha256_short=b56267ceb2e689d4 # S91-W6-VII-U-2-VAR-A-STAGE-2-CROSS-AXIS-INDEPENDENT-VERIFY-AXIS-B dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=INFO regime_verdict=VALID # S91-W6-VII-U-2-VAR-A-STAGE-2-CROSS-AXIS-INDEPENDENT-VERIFY-AXIS-B 3-tuple annotation (S87 schema-v2; [VERIFY-THEOREM] gate)
S91-W2-VII-AW-OP-PROJ-STAGE-2-CROSS-AXIS-INDEPENDENT-VERIFY-AXIS-A: PASS -- value='axis_a=hawking-theorist;clauses_ace_pass=3;clauses_ace_verdicts=(a:PASS,c:PASS,e:PASS);xi_kz_fw_reproduced=0.0187600521136147176;xi_kz_6sigfig_published_in_w3_1=1.876005e-02;xi_kz_6sigfig_match=True;friedrich_baer_certification_PASS=True;fb_bot_K_invariance_L10_eq_L12=True;fb_new_sector_intrusion_count_below_L10=0;fb_new_sector_min_gap_M_KK=2.347615320030598;regulator_invariance_max_rel_dev=0.0000e+00;sat_matrix_p1_p2_p3=(5,4,2);sat_matrix_match=True;p1_unique_strict=True;margin_p1_over_p2=1;all_5_criterion_shas_present=True;OAA_exclusion_PASS=lizzi_connes_volovik_excluded_as_co_signers=True;procedural_floor_PASS=w3_transcripts_not_consumed=True;audit_machinery_self_citation_PASS=4_corner_class_5_criteria_machinery_joint_authored_excluded=True;axis_a_composite=PASS' scheme=stage-2-cross-axis-independent-verify-axis-a-hawking convention=joint-theorem-promotion-stage-2-pass-and-axis-a L_max=10 audit_sha256=f83a0ec8c02dcfca9b506e54c34339b1f0bdb0425d927576de2e3d4e78c110a5 content_sha256=cf8323a143c4d48a0b9a9d1f3538b77be788537d3aef3baffa7cd76bb360fd34 schema_version=S87+
# audit_sha256_short=f83a0ec8c02dcfca content_sha256_short=cf8323a143c4d48a # S91-W2-VII-AW-OP-PROJ-STAGE-2-CROSS-AXIS-INDEPENDENT-VERIFY-AXIS-A dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S91-W2-VII-AW-OP-PROJ-STAGE-2-CROSS-AXIS-INDEPENDENT-VERIFY-AXIS-A 3-tuple annotation (S87 schema-v2)
S91-W2-VII-AW-OP-PROJ-STAGE-2-CROSS-AXIS-INDEPENDENT-VERIFY-AXIS-A: PASS -- value='axis_a=hawking-theorist;clauses_ace_pass=3;clauses_ace_verdicts=(a:PASS,c:PASS,e:PASS);xi_kz_fw_reproduced=0.0187600521136147176;xi_kz_6sigfig_published_in_w3_1=1.876005e-02;xi_kz_6sigfig_match=True;friedrich_baer_certification_PASS=True;fb_bot_K_invariance_L10_eq_L12=True;fb_new_sector_intrusion_count_below_L10=0;fb_new_sector_min_gap_M_KK=2.347615320030598;regulator_invariance_max_rel_dev=0.0000e+00;sat_matrix_p1_p2_p3=(5,4,2);sat_matrix_match=True;p1_unique_strict=True;margin_p1_over_p2=1;all_5_criterion_shas_present=True;OAA_exclusion_PASS=lizzi_connes_volovik_excluded_as_co_signers=True;procedural_floor_PASS=w3_transcripts_not_consumed=True;audit_machinery_self_citation_PASS=4_corner_class_5_criteria_machinery_joint_authored_excluded=True;axis_a_composite=PASS' scheme=stage-2-cross-axis-independent-verify-axis-a-hawking convention=joint-theorem-promotion-stage-2-pass-and-axis-a L_max=10 audit_sha256=f83a0ec8c02dcfca9b506e54c34339b1f0bdb0425d927576de2e3d4e78c110a5 content_sha256=cf8323a143c4d48a0b9a9d1f3538b77be788537d3aef3baffa7cd76bb360fd34 schema_version=S87+
# audit_sha256_short=f83a0ec8c02dcfca content_sha256_short=cf8323a143c4d48a # S91-W2-VII-AW-OP-PROJ-STAGE-2-CROSS-AXIS-INDEPENDENT-VERIFY-AXIS-A dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S91-W2-VII-AW-OP-PROJ-STAGE-2-CROSS-AXIS-INDEPENDENT-VERIFY-AXIS-A 3-tuple annotation (S87 schema-v2)
S91-W2-VII-AW-OP-PROJ-STAGE-2-CROSS-AXIS-INDEPENDENT-VERIFY-AXIS-A: PASS -- value='axis_a=hawking-theorist;option_a_supersedes_emission=True;supersedes=0279978226f34fb7801bcb341410eda09f0abeb39be3eb1c29ee805fcd6c9bf5;supersedes_sig5_dup=f83a0ec8c02dcfca9b506e54c34339b1f0bdb0425d927576de2e3d4e78c110a5;canonical_substantive_state_audit_sha=f83a0ec8c02dcfca9b506e54c34339b1f0bdb0425d927576de2e3d4e78c110a5;clauses_ace_verdicts=(a:PASS,c:PASS,e:PASS);axis_a_composite=PASS;verdict_permanence_preserved=True;line_60_emission_pattern=script-bug-corrective_pf_check_substring_false_positive_fixed_via_AST_walk;line_72_emission_pattern=sig_5_dedup_duplicate_audit_sha_of_line_69_due_to_same_script_bytes_re_run' scheme=stage-2-cross-axis-independent-verify-axis-a-hawking convention=joint-theorem-promotion-stage-2-pass-and-axis-a-OPTION-A-SUPERSEDES-EMISSION L_max=10 audit_sha256=69df5fa7e23fa08fd038a629f6822d0e839a5566dd76ad6cf34246ce89a7831f content_sha256=db44424dda6cc4c8df2d91bdb26dc6c6b8abe2fa219b102442b30133796c05c1 schema_version=S87+
# audit_sha256_short=69df5fa7e23fa08f content_sha256_short=db44424dda6cc4c8 # S91-W2-VII-AW-OP-PROJ-STAGE-2-CROSS-AXIS-INDEPENDENT-VERIFY-AXIS-A dual-SHA companion row (W9a-99 split) supersedes=0279978226f34fb7801bcb341410eda09f0abeb39be3eb1c29ee805fcd6c9bf5 supersedes_sig5_dup=f83a0ec8c02dcfca9b506e54c34339b1f0bdb0425d927576de2e3d4e78c110a5
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S91-W2-VII-AW-OP-PROJ-STAGE-2-CROSS-AXIS-INDEPENDENT-VERIFY-AXIS-A 3-tuple annotation (S87 schema-v2; OPTION-A supersedes-emission per .claude/rules/gate-verdicts.md §"Option A — sig_5 remediation pathway under absolute verdict permanence" S88 W8-100 user adjudication 2026-05-05)
S91-W6-VII-U-2-VAR-A-STAGE-2-CROSS-AXIS-INDEPENDENT-VERIFY-AXIS-B: PASS -- value='axis_b=volovik-superfluid-universe-theorist;clauses_bdf_pass=3;pillar_2_oe_form_pass=True;gge_state_parse_tree_reduction_pass=True;substrate_input_orthogonality_at_structural_ceiling=PASS_AT_PILLAR_1_PILLAR_2_DUAL_SYMBOL_LAYER;k_counter_substrate_input_orthogonality_advance=K=3_TO_K=4;stage_3_eligibility=ENABLED;downstream_inheritance_reach_PASS=volovik_memory_no_w17_w6_citation;OAA_exclusion_PASS=connes_lizzi_excluded_as_w17_w6_workshop_authors;procedural_floor_PASS=True;s90_w6_cf51_anchor_pin_PASS=True;var_a_recompute_L10=1.268176e-05;w5b47_L10_raw_pin=7.282490e-06;rel_dev_vs_w5b47_raw=7.4141e-01;substrate_input_overlap_caveat=substrate-input-overlap-at-eigenvalue-cache-decision-pipeline-ORTHOGONAL;cache_path_drift_corrected=runtime_canonical_path_corrected_from_session-87_to_session-84;composite=PASS' scheme=stage-2-cross-axis-independent-verify-axis-b-volovik convention=joint-theorem-promotion-stage-2-pass-and-axis-b-dual-symbol L_max=10 audit_sha256=82d1068b1df8d89d8b014d75aad7638b79775bff658f4ece64704b57ab7323df content_sha256=e4f13f19dd2ed6271fc3c50f2e3c70cfb80905634eb294c71cac49a21a02bc64 schema_version=S87+
# audit_sha256_short=82d1068b1df8d89d content_sha256_short=e4f13f19dd2ed627 # S91-W6-VII-U-2-VAR-A-STAGE-2-CROSS-AXIS-INDEPENDENT-VERIFY-AXIS-B dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S91-W6-VII-U-2-VAR-A-STAGE-2-CROSS-AXIS-INDEPENDENT-VERIFY-AXIS-B 3-tuple annotation (S87 schema-v2; [VERIFY-THEOREM] gate)
S91-W6-VII-U-2-VAR-A-STAGE-2-CROSS-AXIS-INDEPENDENT-VERIFY-AXIS-B: PASS -- value='axis_b=volovik-superfluid-universe-theorist;option_a_supersedes_emission=True;supersedes=82d1068b1df8d89d8b014d75aad7638b79775bff658f4ece64704b57ab7323df;supersedes_chain_origin=4f9831c44985986c2768f1d4fd322db553f546556555f1870a5c8e797a10da98;canonical_substantive_state_audit_sha=82d1068b1df8d89d8b014d75aad7638b79775bff658f4ece64704b57ab7323df;clauses_bdf_verdicts=(b:PASS,d:PASS,f:PASS);axis_b_composite=PASS;verdict_permanence_preserved=True;line_a_emission_pattern=oe_form_mis_construction_projector_subscript_with_operator_multiplied_content;line_b_emission_pattern=script_bug_fix_oe_form_corrected_to_canonical_projector_trace_per_rule_section_261_iii;line_c_emission_pattern=option_a_canonical_supersedes_emission_per_S88_W8_100_user_adjudication;pillar_2_oe_form_pass=True;gge_state_parse_tree_reduction_pass=True;substrate_input_orthogonality_at_structural_ceiling=PASS_AT_PILLAR_1_PILLAR_2_DUAL_SYMBOL_LAYER;k_counter_substrate_input_orthogonality_advance=K=3_TO_K=4;stage_3_eligibility=ENABLED;downstream_inheritance_reach_PASS=volovik_memory_no_w17_w6_citation;OAA_exclusion_PASS=connes_lizzi_excluded_as_w17_w6_workshop_authors;procedural_floor_PASS=True;s90_w6_cf51_anchor_pin_PASS=True;var_a_recompute_L10=1.268176e-05;w5b47_L10_raw_pin=7.282490e-06;rel_dev_vs_w5b47_raw=7.4141e-01;empirical_anchor_disagreement_noted_in_wp_section=True;substrate_input_overlap_caveat=substrate-input-overlap-at-eigenvalue-cache-decision-pipeline-ORTHOGONAL;cache_path_drift_corrected=runtime_canonical_path_corrected_from_session-87_to_session-84;composite=PASS' scheme=stage-2-cross-axis-independent-verify-axis-b-volovik convention=joint-theorem-promotion-stage-2-pass-and-axis-b-dual-symbol-OPTION-A-SUPERSEDES-EMISSION L_max=10 audit_sha256=a62f14504d3a55224c951610b81f1659be5c6a68e27d82782ba9fd92864f5e1c content_sha256=32ff00b40e34eab1d362f69fab45a2a07b9ec2bd6f4245ed0c2ada09ee192b70 schema_version=S87+
# audit_sha256_short=a62f14504d3a5522 content_sha256_short=32ff00b40e34eab1 # S91-W6-VII-U-2-VAR-A-STAGE-2-CROSS-AXIS-INDEPENDENT-VERIFY-AXIS-B dual-SHA companion row (W9a-99 split) supersedes=82d1068b1df8d89d8b014d75aad7638b79775bff658f4ece64704b57ab7323df supersedes_chain_origin=4f9831c44985986c2768f1d4fd322db553f546556555f1870a5c8e797a10da98
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S91-W6-VII-U-2-VAR-A-STAGE-2-CROSS-AXIS-INDEPENDENT-VERIFY-AXIS-B 3-tuple annotation (S87 schema-v2; OPTION-A supersedes-emission per .claude/rules/gate-verdicts.md §"Option A — sig_5 remediation pathway under absolute verdict permanence" S88 W8-100 user adjudication 2026-05-05)
S91-VII-AR-STAGE-2-INDEPENDENT-VERIFY: FAIL -- value='stage_2_pass_and=FAIL;axis_a_verdict=PASS_reading=PASS-B_clauses_acef=3of3;axis_b_verdict=FAIL_clauses_bdf=1of3_clause_d_FAIL_rank_preserving_construction;joint_clauses_pass_and=FAIL_clause_d_FAIL_forces_composite_FAIL_by_PASS_AND_logic;supersedes=daf7001d89346a7a7721a1e8b3bc89244f2dd4693fd71414ac5c6acb8335897c;reading=FAIL;axis_a_input_sha=ae4096dc057af9ff4ab9cfedce3f35a68063a3166a891f1371cc5c710bd9d060;axis_b_input_sha=45ac4f150a0d954367d922bea8c702ee5e7225f6cf1f21ee883b7a2abb7dab7e;substrate_input_orthogonality_at_structural_ceiling=PASS_cache_plus_cf60_plus_registry_text;OAA_exclusion_PASS=connes_lizzi_excluded_as_w22_co_authors;procedural_floor_satisfied=no_workshop_transcripts_consumed_by_either_reviewer;audit_at_plan_freeze_6_item_check_PASS=all_6_clauses_audited_per_joint_theorem_promotion_md;stage_3_promotion_eligibility=BLOCKED_K3_advancement_reverts_to_PROVISIONAL_pending_FULL_tier_N4;substrate_finding=canonical_SCHEMATIC_W7a74_profile_plus_canonical_pin_realization_falsified_as_Spearman_0.800_producing_operation;substrate_IS_structural_identity_Level_1_NOT_falsified_only_canonical_SCHEMATIC_realization_falsified;level_dressed_4th_class_K_counter_reverts_to_advisory_pending_FULL_tier_N4' scheme=joint-theorem-promotion-stage-2-pass-and-orchestrator-composite convention=cross-axis-axis-a-gen-physicist-plus-axis-b-volovik-orchestrator-direct L_max=12 audit_sha256=18142a380abab15b538b8e7617c499446bc4070eebb77817ce5a9ffb706e383f content_sha256=3730687cf387357b1af3c0921784d7b1e3186f01656a090dadeba997436b0821 schema_version=S87+
# audit_sha256_short=18142a380abab15b content_sha256_short=3730687cf387357b # S91-VII-AR-STAGE-2-INDEPENDENT-VERIFY dual-SHA companion row (W9a-99 split) supersedes=daf7001d89346a7a7721a1e8b3bc89244f2dd4693fd71414ac5c6acb8335897c supersedes_S90_W7_mechanical_closure_FAIL_per_gate_verdicts_md_Option_A
# sign_verdict=FAIL magnitude_verdict=FAIL regime_verdict=VALID # S91-VII-AR-STAGE-2-INDEPENDENT-VERIFY 3-tuple annotation (S87 schema-v2)
S91-VII-AR-STRENGTHENED-REGISTRY-TEXT: FAIL -- value='PRE-REG-INC_blocked_by_S91-VII-AR-STAGE-2-INDEPENDENT-VERIFY_!=PASS_A_OR_PASS_B;w4_1_composite_audit_sha=18142a380abab15b538b8e7617c499446bc4070eebb77817ce5a9ffb706e383f;w4_1_composite_verdict=FAIL;registry_text_update_branch=MECHANICAL_CLOSE_no_edit_performed;supersedes=daf7001d89346a7a7721a1e8b3bc89244f2dd4693fd71414ac5c6acb8335897c;sole_writer=mack-cosmic-bridge_NOT_DISPATCHED_due_to_upstream_FAIL;methodology_class_per_wave_classification_M1_M4=True;VII_AR_PROVISIONAL_re_tag_from_S90_W1_16_retained;STAGE_1_CANDIDATE_PENDING_status_preserved;re_dispatch_deferred_to_S92_plus_with_asymmetric_regulator_PARAMETER_coupling_or_alternative_regulator_atlas_projection' scheme=mack-sole-writer-registry-text-update-methodology-class convention=joint-theorem-promotion-stage-3-eligibility-branch-MECHANICAL-CLOSE L_max=N/A audit_sha256=98e6f689b008da4427cf45bba6b274b8bae05ba5ad620b1b73b9b0f2a2029b2d content_sha256=3730687cf387357b1af3c0921784d7b1e3186f01656a090dadeba997436b0821 schema_version=S87+
# audit_sha256_short=98e6f689b008da44 content_sha256_short=3730687cf387357b # S91-VII-AR-STRENGTHENED-REGISTRY-TEXT dual-SHA companion row (W9a-99 split) supersedes=daf7001d89346a7a7721a1e8b3bc89244f2dd4693fd71414ac5c6acb8335897c supersedes_S90_W7_mechanical_closure_FAIL_per_gate_verdicts_md_Option_A_chained_via_W4_1
# sign_verdict=N/A magnitude_verdict=FAIL regime_verdict=VALID # S91-VII-AR-STRENGTHENED-REGISTRY-TEXT 3-tuple annotation (S87 schema-v2); mechanical-closure-discipline-md_PRE_REG_INC_blocked_by_upstream_W4_1_FAIL
S91-W2-VII-AW-OP-PROJ-STAGE-2-CROSS-AXIS-INDEPENDENT-VERIFY: INFO -- value='stage_2_pass_and=INFO;axis_a_verdict=PASS_hawking_3of3_clauses_ace_Option_A_supersession_chain;axis_a_latest_canonical_sha=69df5fa7e23fa08fd038a629f6822d0e839a5566dd76ad6cf34246ce89a7831f;axis_a_substantive_state_sha=f83a0ec8c02dcfca9b506e54c34339b1f0bdb0425d927576de2e3d4e78c110a5;axis_b_verdict=INFO_mack_2of3_clauses_bdf_clause_b_INFO_OE_form_sub_canonical_retrofittable;axis_b_latest_canonical_sha=0db7c3c01e6959b945a3f623815929edf2e7fd709816e82dfc4f6b381375d914;joint_clauses_pass_and=INFO_clause_b_INFO_demotes_PASS_AND_per_gate_verdicts_collapse_rule;five_criteria_saturation_reproduced=5_of_5_for_P1_per_axis_a_clause_c_audit;stage_3_permanent_eligibility=BLOCKED_pending_CF_S91_W4_3_A_registry_text_retrofit;substrate_input_orthogonality_at_structural_ceiling=PASS_axis_a_consumes_L_max10_cache_axis_b_orthogonal;k_counter_substrate_input_orthogonality_advance=K3_RETAINED_no_advance_due_to_INFO_composite;registry_text_retrofit_queued=CF_S91_W4_3_A_mack_sole_writer_fold_Element_2_named_projector_into_canonical_OE_form_at_registry_line_18020' scheme=joint-theorem-promotion-stage-2-pass-and-orchestrator-composite convention=cross-axis-axis-a-hawking-plus-axis-b-mack-orchestrator-direct L_max=10 audit_sha256=fa12444fd9a755c30e02ed264d4cb73b3f4cde1112f5e10b002338226b6d2dd3 content_sha256=3730687cf387357b1af3c0921784d7b1e3186f01656a090dadeba997436b0821 schema_version=S87+
# audit_sha256_short=fa12444fd9a755c3 content_sha256_short=3730687cf387357b # S91-W2-VII-AW-OP-PROJ-STAGE-2-CROSS-AXIS-INDEPENDENT-VERIFY dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=INFO regime_verdict=VALID # S91-W2-VII-AW-OP-PROJ-STAGE-2-CROSS-AXIS-INDEPENDENT-VERIFY 3-tuple annotation (S87 schema-v2)
S91-W6-VII-U-2-VAR-A-STAGE-2-CROSS-AXIS-INDEPENDENT-VERIFY: PASS -- value='stage_2_pass_and=PASS;axis_a_verdict=PASS_vdd_3of3_clauses_ace_Pillar_1_NCG_axiomatic_A_BdG_full_tensor_M_2_C;axis_a_canonical_sha=a4b189b8ff943b7cfe53f3c949ce8073f799818259abf4d75015fed58df637ce;axis_b_verdict=PASS_volovik_3of3_clauses_bdf_Pillar_2_operational_A_BdG_image_M_2_C_Option_A_supersession_chain;axis_b_latest_canonical_sha=a62f14504d3a55224c951610b81f1659be5c6a68e27d82782ba9fd92864f5e1c;axis_b_substantive_state_sha=82d1068b1df8d89d8b014d75aad7638b79775bff658f4ece64704b57ab7323df;joint_clauses_pass_and=PASS_AND_6of6_all_clauses_PASS_independently_in_both_axes;framework_second_cross_axis_joint_theorem_stage_2_pass_and=True_after_VII_AH_at_S90_W2_CF20;stage_3_permanent_eligibility=ENABLED_at_structural_ceiling_on_Pillar_1_Pillar_2_dual_symbol_convention_layer;substrate_input_orthogonality_at_structural_ceiling=PASS_AT_PILLAR_1_PILLAR_2_DUAL_SYMBOL_with_overlap_caveat_per_S88_W7c_167_V1;k_counter_substrate_input_orthogonality_advance=K3_TO_K4_corpus_extension_beyond_MANDATORY_threshold;element_3_fiducial_anchor_binding=substrate-self-consistent;level_2_binding_sub_class=Level-2-binding_via_HKR_image_Morita_invariance_HH_n_tensor_M_2_C_eq_HH_n;corner_ii_classification_held=algebra_INVARIANT_times_Mellin_pole_s4;parse_tree_closed_form_substrate_is=True_Var_a_n_a_GGE_eq_Bogoliubov_closed_form_spectrum_only;convention_axis_diagnostic_3_way=vdd_4.77e-05_volovik_1.27e-05_w5b47_7.28e-06_Peter_Weyl_multiplicity_normalization_choice;CF_W4_4_EMPIRICAL_ANCHOR_RECONCILIATION_queued_for_Level_3_reconciliation_S92_plus' scheme=joint-theorem-promotion-stage-2-pass-and-orchestrator-composite convention=cross-axis-axis-a-vdd-plus-axis-b-volovik-orchestrator-direct-dual-symbol L_max=10 audit_sha256=1bb3fbfb30c40f17130b176a0ce42841b51dd468d19a55fd6d3409e37cf64b53 content_sha256=3730687cf387357b1af3c0921784d7b1e3186f01656a090dadeba997436b0821 schema_version=S87+
# audit_sha256_short=1bb3fbfb30c40f17 content_sha256_short=3730687cf387357b # S91-W6-VII-U-2-VAR-A-STAGE-2-CROSS-AXIS-INDEPENDENT-VERIFY dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S91-W6-VII-U-2-VAR-A-STAGE-2-CROSS-AXIS-INDEPENDENT-VERIFY 3-tuple annotation (S87 schema-v2)
S91-CF41-UPPER-22.6-EXTENSION: PASS -- value='7.2761e-23;sub_band_membership=UPPER-22-6-CONJUNCT-PASS' scheme=S91-W5-3-CF41-UPPER-22-6-EXTENSION convention=n_PBH-substrate-distance-N-Friedrich-Bar-saturation-L_max-14-plus-substrate-clock-cancellation L_max=14 audit_sha256=1dc0a3feb214d8b52ce7d70854b2510bbfa3df0e531e75dda1f8bf0cbbcb50ce content_sha256=48cdac3ad64ca5b19312ffbd8a64720888d66fc50992ffbf017b500f699d1191 schema_version=S84+
# audit_sha256_short=1dc0a3feb214d8b5 content_sha256_short=48cdac3ad64ca5b1 # S91-CF41-UPPER-22.6-EXTENSION dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S91-CF41-UPPER-22.6-EXTENSION 3-tuple annotation (S87 schema-v2)
S91-W6-FULL-BdG: FAIL -- value='alpha_PV=6.263789+/-inf;A_PV=-1.5822e-02;B_PV=-527.966919;L_emp_PV_L12=-527.966919;L_emp_canonical=-7.046336;anchor_rel_err=7392.7861%;alpha_dev_vs_pred=3.2638;sigma_to_alpha=inf;sign=PASS;mag=FAIL;reg=BREAKDOWN;composite=FAIL' scheme=S91-W5-1-FULL-BdG-PV convention=corner-IV-FULL-PV-Lambda_UV-M_KK-substrate-distance-2-pole-s4 L_max=12 audit_sha256=04a6b22f1ab5b180fac0eb73132ce05ae7e9f32d4394203728778b47a037351e content_sha256=57df0218c7cd177a5789d1652b90ab0a2ce70ef01187403b67e8df9bb7250076 schema_version=S87+
# audit_sha256_short=04a6b22f1ab5b180 content_sha256_short=57df0218c7cd177a # S91-W6-FULL-BdG dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=FAIL regime_verdict=BREAKDOWN # S91-W6-FULL-BdG 3-tuple annotation (S87 schema-v2)
S91-LEVEL-2-MODULI-DEFORMATION-§VII.AU: PASS -- value='Level-2-INVARIANT;R_identity_max=0.0000e+00;R_sageQQ_all_exact_zero=True;tau_grid=[0.18, 0.19, 0.2];asymmetry_frac=0.0000e+00;c_sub_anchor=1.789380;kappa_norm=1.785701;n_s_FW_canonical_at_tau_fold=0.956100;polynomial_identity_in_eps_eff_preserved=True' scheme=S91-W5-2-LEVEL-2-MODULI-§VII.AU convention=level-2-moduli-deformation-§VII.AU-SCHEMATIC L_max=10 audit_sha256=643e1a2c37a2af7e75875ebead42857218a2a3fd4f1b98b1643b69f90f762f55 content_sha256=12c9eecbcd124faaddeb0809f809022c73593a5566b0fc6f9ed032311876e592 schema_version=S87+
# audit_sha256_short=643e1a2c37a2af7e content_sha256_short=12c9eecbcd124faa # S91-LEVEL-2-MODULI-DEFORMATION-§VII.AU dual-SHA companion row (W9a-99 split)
