S88-CF-CURV-5-CASCADE-SCALING-DERIVATION: PASS -- value='LINEAR_g_max=384' scheme=substrate-spectral-primitive convention=atlas-B1-cardinality-2-locked L_max=10 audit_sha256=733d803f72dc2ba7309338e86a097018c521ba59efe794f5238430c1c38d7001 content_sha256=f1e64f2f1d668a41c377bbdf5ff00dd3b608c77abf99c4e1c174e8208396b579 schema_version=S87+
# sign_verdict=FAIL magnitude_verdict=FAIL regime_verdict=VALID # S88-3HEB-EXCESS-INHERITANCE-OBSERVABLE-REDEFINITION-AND-IOTA-STAR-COMPOSABLE-RETRY 3-tuple annotation (S87 schema-v2)
S88-W11-5-LMAX-SCAN-STRUCTURAL-ROBUSTNESS-EXTENSION-WITH-CONVENTION-PIN: INFO -- value=3.205541e+01 scheme=multiplicity-weighted-Mellin-pole-window-Lmax-scan convention=Cbeta-and-B-grid L_max=20 audit_sha256=5440763b8667da4a2924888d9df1c36c6fa977884c746216af83660ea04e661b content_sha256=21ac6f6280ec78dceaec1997988a7de4a8b7f4b332e11abab53e169d45db92a9 schema_version=R3
# audit_sha256_short=5440763b8667da4a content_sha256_short=21ac6f6280ec78dc # S88-W11-5-LMAX-SCAN-STRUCTURAL-ROBUSTNESS-EXTENSION-WITH-CONVENTION-PIN dual-SHA companion row (W9a-99 split); verdict_label=INFO-cross-conv-unstable
# sign_verdict=FAIL magnitude_verdict=FAIL regime_verdict=VALID # S88-W11-5-LMAX-SCAN-STRUCTURAL-ROBUSTNESS-EXTENSION-WITH-CONVENTION-PIN 3-tuple annotation (S87 schema-v2)
S88-CHI-A-CHIRAL-CORRECTION-VERIFICATION: PASS -- value='chi_A_at_N512=1.500000000000004441;chi_A_at_N256=1.499999999999999556;analytic_residual=4.441e-15;convergence_residual=4.885e-15;chi_A_analytic_rational=3/2;I_polar_analytic=4/3;sage_anchor_exact=True;direction=FROM_ABOVE;verdict_kind=PASS-chi_A=3/2-substrate-first-verified-volovik-2003-sec-3-4' scheme=Gauss-Legendre_separable_polar_azimuthal_FS_average convention=Volovik-2003-sec-3-4-axisymmetric-A-phase-Delta_A=Delta_0_sin_theta_exp_i_phi L_max=N/A audit_sha256=561e7e833d8b2f7ae3ee0a53572add0aaa5cd6fc120342749bee0a51f5b95eba content_sha256=de579dfb13dc5ef9535656fe5382b9b9ace371588ac0ab300837b49978368c98 schema_version=S87+
# audit_sha256_short=561e7e833d8b2f7a content_sha256_short=de579dfb13dc5ef9 # S88-CHI-A-CHIRAL-CORRECTION-VERIFICATION dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S88-CHI-A-CHIRAL-CORRECTION-VERIFICATION 3-tuple annotation (S87 schema-v2)
S88-CHI-INHERITANCE-OF-KERNEL-DEGENERATE-ESCAPE-COMPLETE: PASS -- value='lambda_min_L10=0.8197411121;lambda_min_L11=0.8197411121;lambda_min_L12=0.8197411121;floor=0.02;max_chi_norm_M3_L10=0.000e+00;max_chi_norm_M3_L11=0.000e+00;max_chi_norm_M3_L12=0.000e+00;chi_threshold=1e-12;envelope_residual_L10=0.000e+00;envelope_residual_L11=0.000e+00;envelope_C_PASS=10.0;sub_A_pass=True;sub_B_pass=True;envelope_pass=True' scheme=KDE-rescue-class convention=Gell-Mann-canonical-A_F-SINGLETON L_max=10 audit_sha256=cd13d13229aeb7961e74da5cf28f5612a3d45a524124aa0b9627654fc2dfa028 content_sha256=372820a880e6ed465a2a1964d235212a1ec5f57affd2bc1d1aa2f7c7e53fa563 schema_version=S84+
# audit_sha256_short=cd13d13229aeb796 content_sha256_short=372820a880e6ed46 # S88-CHI-INHERITANCE-OF-KERNEL-DEGENERATE-ESCAPE-COMPLETE dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S88-CHI-INHERITANCE-OF-KERNEL-DEGENERATE-ESCAPE-COMPLETE 3-tuple annotation (S87 schema-v2)
S88-CHIRAL-PAIR-MULTIPLICITY-SYMMETRY-VERIFICATION-PLUS-LAB-CONVERSION-FACTOR-DERIVATION: FAIL -- value='ratio_DA=0.0035912813,ratio_PW=0.0035912813,rel_dev_DA=9.9951e-01,rel_dev_DB=9.9951e-01,rel_dev_AB=0.0000e+00,target=7.324992' scheme=Casimir-plus-Peter-Weyl-two-route convention=Gell-Mann-canonical-SU3-T_a_T_a_=_4/3 L_max=10 audit_sha256=33bab911cd21dea0e25c3ee7071b53ae5c6aee4624c2bb2f3f9f4681d1103df1 content_sha256=451000bf7f4e3a0ac605564571a3d5f0753a68a1fe3f84d7484f6a2dc6a3ada5 schema_version=S84+
# audit_sha256_short=33bab911cd21dea0 content_sha256_short=451000bf7f4e3a0a # S88-CHIRAL-PAIR-MULTIPLICITY-SYMMETRY-VERIFICATION-PLUS-LAB-CONVERSION-FACTOR-DERIVATION dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=FAIL regime_verdict=VALID # S88-CHIRAL-PAIR-MULTIPLICITY-SYMMETRY-VERIFICATION-PLUS-LAB-CONVERSION-FACTOR-DERIVATION 3-tuple annotation (S87 schema-v2)
S88-LANCASTER-MCT3-VORTEX-CORE-EVALUATE: INFO -- value='PROTOCOL-PRE-REGISTERED-CROSS-PLATFORM-DEFERRED;section_A_lines=36;section_B_lines=35;section_C_lines=41;substrate_F1_margin_M_KK_sq=0.573193;substrate_ratio=7.324992;S_N_forecast_sigma_per_decade=9.0;cancellation_residual=0.0;deferred_component=mack_cosmic_bridge_inventory_row_45_sole_writer;queued_to=Wave_5_mack_write_batch' scheme=substrate-IS-laboratory-IN-bridge convention=AZ-BDI-DIII-inheritance L_max=10 audit_sha256=21654d5ed16937e2dfdef2b5c3625e09578a6310e49c22d05b522ebb5f09b3b7 content_sha256=d616145c153997160912613dc45acb9d2c87568675d0af04eab1711db4f11452 schema_version=S84+
# audit_sha256_short=21654d5ed16937e2 content_sha256_short=d616145c15399716 # S88-LANCASTER-MCT3-VORTEX-CORE-EVALUATE dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=INFO regime_verdict=VALID # S88-LANCASTER-MCT3-VORTEX-CORE-EVALUATE 3-tuple annotation (S87 schema-v2)
S88-MUSR-VORTEX-CROSS-PLATFORM-RATIO-EVALUATE: INFO -- value='PROTOCOL-PRE-REGISTERED-AALTO-SCHEDULE-DEFERRED;section_A_lines=29;section_B_lines=24;section_C_lines=25;section_D_lines=39;substrate_ratio=7.324992;cancellation_residual=0.0;inter_lab_band=0.001;chi_A_volovik_2003=1.5;deferred_component=mack_cosmic_bridge_inventory_row_46_sole_writer;queued_to=Wave_5_mack_write_batch' scheme=cross-platform-uSR-Knight-shift convention=cancellation-theorem-common-exponent L_max=10 audit_sha256=e792a136507687d021bc3e115f2f4da3621f283aa1da57239f1ebea1af7cb784 content_sha256=c768fe0fbce86fe28c6d8bdbb4d01a4f91e8aee8b0bca46594c89dccfa6d949c schema_version=S84+
# audit_sha256_short=e792a136507687d0 content_sha256_short=c768fe0fbce86fe2 # S88-MUSR-VORTEX-CROSS-PLATFORM-RATIO-EVALUATE dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=INFO regime_verdict=VALID # S88-MUSR-VORTEX-CROSS-PLATFORM-RATIO-EVALUATE 3-tuple annotation (S87 schema-v2)
S88-3HE-B-AALTO-LTL-CAMPAIGN-COORDINATION: INFO -- value='PROTOCOL-PRE-REGISTERED-MACK-CROSS-LINK-DEFERRED;A=26;B=38;C=26;groups=Krusius+Tuoriniemi+Eltsov;rows=45+46;horizon=S88_to_S100_plus_2027_to_2032_lab_years;substrate_ratio=7.324992;deferred_component=mack_cosmic_bridge_inventory_rows_45_46_cross_link_sole_writer;queued_to=Wave_5_mack_write_batch' scheme=three-group-three-cell-matrix convention=substrate-rows-mapped-to-aalto-observables L_max=10 audit_sha256=c1e97f9503e32e2d06f36b4b41ab91bd76f33bc404af2670f90932b8f9a293b4 content_sha256=00bf910a2d0d72fdb7d5c83cd46c51e3ea839ff5c493acf1a9378dad9ba3cb1c schema_version=S84+
# audit_sha256_short=c1e97f9503e32e2d content_sha256_short=00bf910a2d0d72fd # S88-3HE-B-AALTO-LTL-CAMPAIGN-COORDINATION dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=INFO regime_verdict=VALID # S88-3HE-B-AALTO-LTL-CAMPAIGN-COORDINATION 3-tuple annotation (S87 schema-v2)
S88-3HE-B-CLASS-A-LAB-DISPATCH: INFO -- value='CLASS-A-DISPATCH-PRE-REGISTERED-MACK-INVENTORY-DEFERRED;A=30;B=17;C=19;D=29;rows=F1+F2+F5;margin_F1=0.573193;SN_per_row=9.0;per_row_assignment_Krusius_ROTA+Krusius_NMR_long+Tuoriniemi_Andreev;deferred_component=mack_cosmic_bridge_inventory_rows_45_47_48_sole_writer;queued_to=Wave_5_mack_write_batch' scheme=Class-A-decisive-triplet convention=kernel-signature-NULL-9sigma L_max=10 audit_sha256=810ff9cab387673920f71ea8567b5393f83115790fa8026752e74e296f2e46e5 content_sha256=b7beec6293c03d64a07308aee07756cecaac2a3afb61e088c4b8fbc63cd5e705 schema_version=S84+
# audit_sha256_short=810ff9cab3876739 content_sha256_short=b7beec6293c03d64 # S88-3HE-B-CLASS-A-LAB-DISPATCH dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=INFO regime_verdict=VALID # S88-3HE-B-CLASS-A-LAB-DISPATCH 3-tuple annotation (S87 schema-v2)
S88-3HE-B-CLASS-B-RATIO-PRECISION: INFO -- value='CLASS-B-ROTA-PRECISION-PROTOCOL-PRE-REGISTERED-MACK-DEFERRED;A=24;B=24;C=22;D=28;substrate_ratio=7.324992;cancellation_residual=0.0;band_rel=0.001;SN=9.0;N_obs_per_step=10000.0;deferred_component=mack_cosmic_bridge_inventory_rows_46_54b_sole_writer;queued_to=Wave_5_mack_write_batch' scheme=Class-B-ratio-precision convention=ROTA-amplitude-ratio-cancellation-theorem L_max=10 audit_sha256=ef4f4856f864bfd4a7d66b1650f0089267e8b9fb348b504e09ddf654830604c3 content_sha256=0f01589706f48343ed6d2a6215b3b05838b30906fa8a3b820aa5c1225725d720 schema_version=S84+
# audit_sha256_short=ef4f4856f864bfd4 content_sha256_short=0f01589706f48343 # S88-3HE-B-CLASS-B-RATIO-PRECISION dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=INFO regime_verdict=VALID # S88-3HE-B-CLASS-B-RATIO-PRECISION 3-tuple annotation (S87 schema-v2)
S88-CLASS-B-DELTA-RATIO-CALIBRATION: PASS -- value='D_max=0.005464;PASS_threshold=0.02;INFO_threshold=0.05;delta_ratio_greywall=0.96;delta_ratio_HH=0.965;delta_ratio_q=0.9652743572;SC_corr_match_residual=0.000027;q_in_greywall_band=True;q_in_HH_band=True;max_pair=|Greywall_thermometric-Volovik_q_theory|=0.005274' scheme=three-method-cross-validation convention=q-theory-canonical-anchor L_max=N/A-laboratory-anchor audit_sha256=b3f399637cbe9eda540ae27525f454a4b979d7655616581f6834735121907bff content_sha256=bbeb27d58c670f90f72dcfc7807d8ab3478c1e0a358e89fbd4977a9909e30082 schema_version=S84+
# audit_sha256_short=b3f399637cbe9eda content_sha256_short=bbeb27d58c670f90 # S88-CLASS-B-DELTA-RATIO-CALIBRATION dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S88-CLASS-B-DELTA-RATIO-CALIBRATION 3-tuple annotation (S87 schema-v2)
S88-3HE-B-INHERITANCE-CARTESIAN-CONFIRM: FAIL -- value='AZ-BDI-DIII-INHERITANCE-CONFIRM;chi_M3_max_residual=0.000000e+00;homom_max_residual=2.186886e-15;j_inv_max_residual=9.076695e+00;S86_W5_step2_residual=9.076695e+00;S86_W5_step2_tol=1e-15;rank_ker_chi_at_Lmax_10=2;ker_cocycles=phi_67+phi_88;AZ_compatibility_verified=True' scheme=AZ-BDI-DIII-compatibility convention=chirality-grading-reversal L_max=10 audit_sha256=25bfc737ade15062e3a39e360bb35185f3f05e5d16ecd56e55c5c25c46de0254 content_sha256=a0488748e1b6de84a536f2b709a58590b88ace4cb48eb1527c0823aacd642a11 schema_version=S84+
# audit_sha256_short=25bfc737ade15062 content_sha256_short=a0488748e1b6de84 # S88-3HE-B-INHERITANCE-CARTESIAN-CONFIRM dual-SHA companion row (W9a-99 split)
# sign_verdict=FAIL magnitude_verdict=FAIL regime_verdict=VALID # S88-3HE-B-INHERITANCE-CARTESIAN-CONFIRM 3-tuple annotation (S87 schema-v2)
S88-3HE-B-INHERITANCE-CARTESIAN-CONFIRM-V2: PASS -- value='AZ-BDI-DIII-INHERITANCE-CONFIRM;chi_M3_max_residual=0.000000e+00;homom_max_residual=2.186886e-15;j_inv_max_residual=0.000000e+00;S86_W5_step2_residual=2.186886e-15;S86_W5_step2_tol=1e-15;rank_ker_chi_at_Lmax_10=2;ker_cocycles=phi_67+phi_88;AZ_compatibility_verified=True' scheme=AZ-BDI-DIII-compatibility-V2-Hermitian-conjugate-J-action convention=chirality-grading-reversal L_max=10 audit_sha256=f217d93a705d3b8ac76d012d300580e18bb191522af3e3645b06e33a4a70d1a3 content_sha256=8c9fa3a218c810dd685d63d441119cf312f02173493c51400b879a8dfdadc7fe schema_version=S84+
# audit_sha256_short=f217d93a705d3b8a content_sha256_short=8c9fa3a218c810dd # S88-3HE-B-INHERITANCE-CARTESIAN-CONFIRM-V2 dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S88-3HE-B-INHERITANCE-CARTESIAN-CONFIRM-V2 3-tuple annotation (S87 schema-v2)
S88-3HE-B-ALPHA-S-EXTRACTION-PROTOCOL: INFO -- value='ALPHA-S-NMR-PROTOCOL-PRE-REGISTERED-MACK-INVENTORY-DEFERRED;A=23;B=23;C=20;D=20;E=26;alpha_s_canonical=-0.08587279;alpha_s_from_n_s_squared=-0.0689679900;sigma_substrate=0.001;sigma_lab=0.0005;combined_band=1.118034e-03;sub_tolerance_feasible=True;P_pc=21.22;T_pc=0.002273;deferred_component=mack_cosmic_bridge_inventory_rows_54a_54b_sole_writer;queued_to=Wave_5_mack_write_batch' scheme=longitudinal-NMR-resonance-running convention=algebra-INVARIANT-s3-Mellin-pole L_max=10 audit_sha256=e75fbe551eab2119f87fdc5b54bea627244b57684bf35a07366881665a547ca6 content_sha256=a1d1cfc169345f1ec36ca227df637b50b03ae3abd7fa9a18c1779672cfedd6ff schema_version=S84+
# audit_sha256_short=e75fbe551eab2119 content_sha256_short=a1d1cfc169345f1e # S88-3HE-B-ALPHA-S-EXTRACTION-PROTOCOL dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=INFO regime_verdict=VALID # S88-3HE-B-ALPHA-S-EXTRACTION-PROTOCOL 3-tuple annotation (S87 schema-v2)
S88-CF-20-SOURCE-DOUBLE-CITE-CO-PRIMARY-LANDING-FOR-ALPHA-S: PASS -- value='slot=§VII.AN;alpha_s_qq=-8587279/100000000;cross_corner_ratio=704633600/8587279=82.0556;sub_row_line_count=32;cc1_anchor1=True;cc2_anchor2=True;cc3_structure=True;cc4_chain=True;cc5_closure_sha=True;cc6_framing=True;cc7_alpha_qq=True;cc8_ratio=True;cc_allowlist=True;verdict_kind=PASS-vii-AN-source-double-cite-co-primary-landed' scheme=registry-landing convention=source-double-cite-co-primary L_max=N/A audit_sha256=cf5ec646662ccf8be68a206dc96ca38a222ebc6c596131d1d923e237f217f509 content_sha256=014149fc8b85c90d66589ba4d80a788d55089e78d6a894b2dfbb82cf76377172 schema_version=S87+
# audit_sha256_short=cf5ec646662ccf8b content_sha256_short=014149fc8b85c90d # S88-CF-20-SOURCE-DOUBLE-CITE-CO-PRIMARY-LANDING-FOR-ALPHA-S dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S88-CF-20-SOURCE-DOUBLE-CITE-CO-PRIMARY-LANDING-FOR-ALPHA-S 3-tuple annotation (S87 schema-v2)
S88-S62-FILENAME-CANONICAL-PIN-FIX: INFO -- value='rename=s62_a4_a2_ratio.npz→s62_sector_energy_ratio.npz;pre_closed_S81=True;S81_closure_sha=e6e68700bda05183;total_matches=44;n_live_edit=0;n_exempt=44;second_pass_live=0;verdict_kind=INFO-44-exempt-cite-stale-refs-immutable-pre-closed-at-S81' scheme=hygiene convention=canonical-filename-fix-SR-class-c L_max=N/A audit_sha256=020d74a6ec821e41796a9369bebf81d67cb2eafa15d5a2fd1a548cd52c03c59d content_sha256=fcb78fbb9a233e23310ec0c9be48e65a19cbf4120ba6997c9eda2c37caeb9e8d schema_version=S87+
# audit_sha256_short=020d74a6ec821e41 content_sha256_short=fcb78fbb9a233e23 # S88-S62-FILENAME-CANONICAL-PIN-FIX dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=INFO regime_verdict=VALID # S88-S62-FILENAME-CANONICAL-PIN-FIX 3-tuple annotation (S87 schema-v2)
S88-TAU-PIVOT-CANONICAL-CONSTANT-PROMOTION: PASS -- value='tau_pivot_canonical=0.19;candidate_A=0.198;candidate_B=0.19;d_max=0.01791;d_band=NO-ACTION;cc1_const=True;cc2_prov=True;cc3_import=True;cc_allowlist=True;verdict_kind=PASS-tau_pivot-0.19-canonical-promoted-D_max-0.0179-NO-ACTION' scheme=canonical-promotion convention=substrate-first-pin L_max=N/A audit_sha256=da698398cfde72a3da37d5a553ddbba66cbc8f21600570dc12fe359fbaabc138 content_sha256=0ff57ab2f9a7bc3f8c00f5433585753e8f00efe84c3dcd2a4a0fc5900fef0b9d schema_version=S87+
# audit_sha256_short=da698398cfde72a3 content_sha256_short=0ff57ab2f9a7bc3f # S88-TAU-PIVOT-CANONICAL-CONSTANT-PROMOTION dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S88-TAU-PIVOT-CANONICAL-CONSTANT-PROMOTION 3-tuple annotation (S87 schema-v2)
S88-Q3-2026-QUARTERLY-POLL-CMB-S4: FAIL -- value='sigma_FW_vs_Planck=13.9957;sigma_FW_vs_CMB_S4_high=38.3360;sigma_FW_vs_CMB_S4_low=44.0864;sigma_FW_vs_CMB_HD=88.1728;drift_vs_S85_W1b8=0.9957;paper_search_n=0;verdict_kind=FAIL-paper-search-MCP-unavailable-empty-corpus-routes-SR-class-c-re-pin-next-session' scheme=observational-poll convention=quarterly-Q3-2026 L_max=N/A audit_sha256=452108aa34c485cc1c9e6b3241efa115489a069b0e543731ec1beb1d8f208e1c content_sha256=51661dc224b8e7675d683ad4346dcb3ae3171f91fa744145e3056aa89b6b6090 schema_version=S87+
# audit_sha256_short=452108aa34c485cc content_sha256_short=51661dc224b8e767 # S88-Q3-2026-QUARTERLY-POLL-CMB-S4 dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=FAIL regime_verdict=VALID # S88-Q3-2026-QUARTERLY-POLL-CMB-S4 3-tuple annotation (S87 schema-v2)
S88-MULTI-VALUED-ALPHA-S-LANDSCAPE-MAPPING: PASS -- value='n_cells=4;n_closed=2;n_open=2;n_aux=3;n_pairs_total=6;n_pairs_pass=6;cell_I=-0.08587279;cell_IV=-7.046336;new_registry_sha=8f5da975b10d772d;verdict_kind=PASS-4-cell-landscape-mapped-6-pair-orthogonality-confirmed' scheme=enumeration-mapping convention=4-corner-mandatory-K3 L_max=12 audit_sha256=7eb23e19bba271e273962936912494709e364d9e4431f9322820e0fa09b042fe content_sha256=731f04108d5e09ddf7e89160a87ebb672175073b1e8eacb16bd5db5b8989af25 schema_version=S87+
# audit_sha256_short=7eb23e19bba271e2 content_sha256_short=731f04108d5e09dd # S88-MULTI-VALUED-ALPHA-S-LANDSCAPE-MAPPING dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S88-MULTI-VALUED-ALPHA-S-LANDSCAPE-MAPPING 3-tuple annotation (S87 schema-v2)
S88-ALPHA-S-CORNER-I-WITHIN-POLE-CO-PRIMARY-REGISTRY-LANDING: PASS -- value='slot=§VII.AO;upstream_slot=§VII.AN;cc_w5a37_pass=True;sub_row_line_count=41;cc1=True;cc2=True;cc3=True;cc4=True;cc5=True;cc6=True;cc7=True;cc8=True;cc9=True;cc_allowlist=True;verdict_kind=PASS-vii-AO-corner-I-biaxial-FI-landed' scheme=registry-landing-corner-I convention=biaxial-FI-s3-pole L_max=12 audit_sha256=d536b67445b6468d6ff9778b980aa85683216c1775926559396795139c23e110 content_sha256=cea12d5e4d15676067123d92907ada513c3154ea73da6d148c5674eca834b93b schema_version=S87+
# audit_sha256_short=d536b67445b6468d content_sha256_short=cea12d5e4d156760 # S88-ALPHA-S-CORNER-I-WITHIN-POLE-CO-PRIMARY-REGISTRY-LANDING dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=PASS regime_verdict=VALID # S88-ALPHA-S-CORNER-I-WITHIN-POLE-CO-PRIMARY-REGISTRY-LANDING 3-tuple annotation (S87 schema-v2)
S88-ALPHA-S-CORNER-IV-COMPANION-OBSERVABLE-NEW-REGISTRY-LANDING: FAIL -- value='slot=§VII.AP;cell_I_slot=§VII.AO;alpha_s_IV=-7.046336;ratio_qq=704633600/8587279=82.0556;sub_row_line_count=51;cc3_NOT_CO_PRIMARY=True;cc7_ratio_observable=True;cc8_forbidden_flag=True;cc9_biaxial_orthogonal=True;cc_allowlist=True;verdict_kind=FAIL-anchor-tag-drift-CO-PRIMARY-detected-Class-8.2-violation' scheme=registry-landing-corner-IV convention=biaxial-DRESSED-s4-cone-orthogonal-companion L_max=12 audit_sha256=d8c925c286402a94ff28f4bbf788104c1decb1494210dd2333f5e47a62d5db60 content_sha256=b62368dd402d796b490ba44acb5be89dfd34f600b75270fb1f7eeda3bfe40d05 schema_version=S87+
# audit_sha256_short=d8c925c286402a94 content_sha256_short=b62368dd402d796b # S88-ALPHA-S-CORNER-IV-COMPANION-OBSERVABLE-NEW-REGISTRY-LANDING dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=FAIL regime_verdict=VALID # S88-ALPHA-S-CORNER-IV-COMPANION-OBSERVABLE-NEW-REGISTRY-LANDING 3-tuple annotation (S87 schema-v2)
S88-ALPHA-S-CORNER-IV-COMPANION-OBSERVABLE-NEW-REGISTRY-LANDING: FAIL -- value='slot=§VII.AQ;cell_I_slot=§VII.AO;alpha_s_IV=-7.046336;ratio_qq=704633600/8587279=82.0556;sub_row_line_count=0;cc3_NOT_CO_PRIMARY=True;cc7_ratio_observable=True;cc8_forbidden_flag=True;cc9_biaxial_orthogonal=True;cc_allowlist=True;verdict_kind=FAIL-vii-AQ-corner-IV-block-incomplete' scheme=registry-landing-corner-IV convention=biaxial-DRESSED-s4-cone-orthogonal-companion L_max=12 audit_sha256=6a2096c8d1c422abcc7235d530a30f876f7da8c9b5e45ff1ebb861cbcd55acae content_sha256=46e7147cecdcdba8017eeb34896767a8f98ad1099610a24cf619cf3586705733 schema_version=S87+
# audit_sha256_short=6a2096c8d1c422ab content_sha256_short=46e7147cecdcdba8 # S88-ALPHA-S-CORNER-IV-COMPANION-OBSERVABLE-NEW-REGISTRY-LANDING dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=FAIL regime_verdict=VALID # S88-ALPHA-S-CORNER-IV-COMPANION-OBSERVABLE-NEW-REGISTRY-LANDING 3-tuple annotation (S87 schema-v2)
S88-ALPHA-S-CORNER-IV-COMPANION-OBSERVABLE-NEW-REGISTRY-LANDING: PASS -- value='slot=§VII.AP;cell_I_slot=§VII.AO;alpha_s_IV=-7.046336;ratio_qq=704633600/8587279=82.0556;sub_row_line_count=51;cc3_NOT_CO_PRIMARY=True;cc7_ratio_observable=True;cc8_forbidden_flag=True;cc9_biaxial_orthogonal=True;cc_allowlist=True;verdict_kind=PASS-vii-AP-corner-IV-biaxial-DRESSED-orthogonal-companion-landed' scheme=registry-landing-corner-IV convention=biaxial-DRESSED-s4-cone-orthogonal-companion L_max=12 audit_sha256=47a5a78c0cfdc6f847b6c414af5f1dcd96c68a2b455e7f4309738f52f93418af content_sha256=edc5ba0652eca01cd9411d6a60181bf6bc40ad0993bbfdb7a92d250fa1b55a6e schema_version=S87+
# audit_sha256_short=47a5a78c0cfdc6f8 content_sha256_short=edc5ba0652eca01c # S88-ALPHA-S-CORNER-IV-COMPANION-OBSERVABLE-NEW-REGISTRY-LANDING dual-SHA companion row (W9a-99 split)
# sign_verdict=PASS magnitude_verdict=PASS regime_verdict=VALID # S88-ALPHA-S-CORNER-IV-COMPANION-OBSERVABLE-NEW-REGISTRY-LANDING 3-tuple annotation (S87 schema-v2)
S88-A_2-MELLIN-SPECTRUM-CACHE-DISCRIMINATOR: FAIL -- value='a_2_raw=2211143.849958;a_4_raw=174981.1976;a_0=31956720;target=-0.08587279;best_label=-f0;best_value=-0.0883200000;best_rel_diff=2.8498e-02;verdict_kind=FAIL-no-route-A-normalization-reproduces-target-best=-f0-rel_diff=2.85e-02-suggests-S82-W3-9-framing-is-route-B-rationalization' scheme=mellin-residue-substrate-distance-1-pole convention=connes-moscovici-1995-III-4-substrate-first-route-A L_max=12 audit_sha256=c092fe1bff9ab66928aa9c545a3a22776f847053af40b5d2814db0143d21f64b content_sha256=3509f8734297470e6cb04ff733f2d37210d45717bc371d3ee6c302c49f875472 schema_version=S87+
# audit_sha256_short=c092fe1bff9ab669 content_sha256_short=3509f8734297470e # S88-A_2-MELLIN-SPECTRUM-CACHE-DISCRIMINATOR dual-SHA companion row (W9a-99 split)
# sign_verdict=N/A magnitude_verdict=FAIL regime_verdict=VALID # S88-A_2-MELLIN-SPECTRUM-CACHE-DISCRIMINATOR 3-tuple annotation (S87 schema-v2)
S88-FOUR-CORNER-CLASSIFICATION-NCG-AXIOMATIC-STRUCTURAL-THEOREM-LANDING: PASS -- value='draft_complete_clauses_a_through_f' scheme=four-corner-NCG-axiomatic-classification convention=joint-theorem-promotion-Stage-1-CANDIDATE L_max=N/A audit_sha256=aeb3edfa7dcca2393ea18e56988a9994a103cd0ccc6aea2c01d7a917d5eda94c content_sha256=1e1eee393259c72fabdc632118b8ccaa0ad24b2c8cd13511a6eeac5e0959327c schema_version=S87+
# audit_sha256_short=aeb3edfa7dcca239 content_sha256_short=1e1eee393259c72f # S88-FOUR-CORNER-CLASSIFICATION-NCG-AXIOMATIC-STRUCTURAL-THEOREM-LANDING dual-SHA companion row (W9a-99 split)
S88-FOUR-CORNER-RETROACTIVE-ANNOTATION-AUDIT-SCRIPT: FAIL -- value='n_slots=7/annotated=0/ambig=0/missing=7/mismatch=0 | FAIL | missing-slot-extraction; all_found=False, all_corner_unambiguous=False, mismatches_vs_predicted=0, ambiguous=0, missing_corner_d' scheme=corner-classification-parse-tree-decision convention=clause-e-decidable-finite-parse L_max=N/A audit_sha256=065a3678731a76e0aad007cad9b1e3e5068c4669d5d6a00979d9756c787f9fbc content_sha256=2cb7eedd4ac6169faea939e30b83c827ffe6f41fe225d7c184e1d40b9f5e5e9d schema_version=S84+
# audit_sha256_short=065a3678731a76e0 content_sha256_short=2cb7eedd4ac6169f # S88-FOUR-CORNER-RETROACTIVE-ANNOTATION-AUDIT-SCRIPT dual-SHA companion row (W9a-99 split)
